case:concept:name,min,max,duration_days
declaration 100274,2018-02-13 09:15:54+00:00,2018-02-19 17:31:31+00:00,6.3441782407407405
declaration 100279,2018-02-13 09:22:00+00:00,2018-02-19 17:31:31+00:00,6.339942129629629
declaration 100284,2018-02-13 11:49:11+00:00,2018-02-15 17:31:17+00:00,2.2375694444444445
declaration 100289,2018-02-13 11:56:40+00:00,2018-02-15 17:31:17+00:00,2.2323726851851853
declaration 100295,2018-02-13 14:18:59+00:00,2018-02-26 17:31:27+00:00,13.133657407407407
declaration 100301,2018-02-13 14:54:45+00:00,2018-03-01 17:31:25+00:00,16.108796296296298
declaration 100306,2018-02-13 16:57:03+00:00,2018-02-26 17:31:27+00:00,13.023888888888889
declaration 100311,2018-02-13 20:44:24+00:00,2018-02-19 17:31:31+00:00,5.866053240740741
declaration 100317,2018-02-13 20:46:12+00:00,2018-02-19 17:31:31+00:00,5.86480324074074
declaration 100323,2018-02-14 09:11:06+00:00,2018-02-22 17:30:39+00:00,8.346909722222222
declaration 100328,2018-02-14 09:14:00+00:00,2018-03-08 17:30:58+00:00,22.34511574074074
declaration 100333,2018-02-14 09:17:18+00:00,2018-02-19 17:31:31+00:00,5.343206018518519
declaration 100338,2018-02-14 10:42:26+00:00,2018-02-19 17:31:31+00:00,5.284085648148148
declaration 100343,2018-02-14 11:41:36+00:00,2018-02-26 17:31:27+00:00,12.242951388888889
declaration 100348,2018-02-14 14:29:28+00:00,2018-02-26 17:31:27+00:00,12.126377314814814
declaration 100354,2018-02-14 16:33:17+00:00,2018-02-26 17:31:27+00:00,12.040393518518519
declaration 100359,2018-02-22 10:22:05+00:00,2018-03-08 17:30:58+00:00,14.297835648148148
declaration 100365,2017-12-18 21:15:56+00:00,2018-02-15 17:31:17+00:00,58.84399305555556
declaration 100374,2018-01-08 10:58:58+00:00,2018-01-22 17:31:16+00:00,14.272430555555555
declaration 100380,2018-01-09 12:51:46+00:00,2018-01-11 17:30:56+00:00,2.193865740740741
declaration 100388,2018-01-10 14:15:34+00:00,2018-01-22 17:31:16+00:00,12.135902777777778
declaration 100394,2018-01-11 09:59:55+00:00,2018-01-18 17:31:07+00:00,7.3133333333333335
declaration 100399,2018-01-11 17:00:03+00:00,2018-01-22 17:31:16+00:00,11.02167824074074
declaration 100412,2018-01-15 08:26:12+00:00,2018-01-22 17:31:16+00:00,7.3785185185185185
declaration 100417,2018-01-15 12:51:41+00:00,2018-01-18 17:31:07+00:00,3.194050925925926
declaration 100422,2018-01-15 13:21:43+00:00,2018-01-29 17:31:10+00:00,14.173229166666667
declaration 100428,2018-01-15 13:25:54+00:00,2018-01-18 17:31:07+00:00,3.170289351851852
declaration 100433,2018-01-16 13:39:24+00:00,2018-01-25 08:25:07+00:00,8.781747685185184
declaration 100441,2018-01-16 13:50:53+00:00,2018-01-25 17:31:07+00:00,9.152939814814815
declaration 100447,2018-01-16 14:25:50+00:00,2018-01-22 17:31:16+00:00,6.128773148148148
declaration 100452,2018-01-16 15:03:58+00:00,2018-01-25 17:31:07+00:00,9.1021875
declaration 100457,2018-01-16 16:00:33+00:00,2018-01-22 17:31:16+00:00,6.062997685185185
declaration 100463,2018-01-16 16:24:59+00:00,2018-01-25 17:31:07+00:00,9.045925925925927
declaration 100468,2018-01-17 09:20:27+00:00,2018-01-22 17:31:16+00:00,5.340844907407408
declaration 100473,2018-01-18 09:04:55+00:00,2018-01-25 17:31:07+00:00,7.351527777777778
declaration 100479,2018-01-18 16:33:10+00:00,2018-01-25 17:31:07+00:00,7.040243055555556
declaration 100484,2018-01-19 13:51:13+00:00,2018-01-25 17:31:07+00:00,6.152708333333333
declaration 100490,2018-01-22 10:39:33+00:00,2018-01-25 17:31:07+00:00,3.285810185185185
declaration 100496,2018-01-22 15:38:17+00:00,2018-01-29 17:31:10+00:00,7.078391203703704
declaration 100501,2018-01-22 15:46:52+00:00,2018-01-29 17:31:10+00:00,7.072430555555556
declaration 100506,2018-01-22 18:57:01+00:00,2018-02-01 17:31:17+00:00,9.940462962962963
declaration 100512,2018-02-15 11:24:23+00:00,2018-02-21 08:32:09+00:00,5.8803935185185185
declaration 100516,2018-02-15 11:59:43+00:00,2018-02-26 17:31:27+00:00,11.23037037037037
declaration 100521,2018-02-15 12:38:39+00:00,2018-02-26 17:31:27+00:00,11.203333333333333
declaration 100526,2018-02-15 14:03:29+00:00,2018-02-26 17:31:27+00:00,11.144421296296295
declaration 100532,2018-02-15 14:07:42+00:00,2018-03-01 17:31:25+00:00,14.141469907407407
declaration 100538,2018-02-15 14:28:02+00:00,2018-02-22 17:30:39+00:00,7.12681712962963
declaration 100543,2018-02-15 17:33:14+00:00,2018-02-19 10:53:05+00:00,3.7221180555555557
declaration 100547,2018-02-15 18:02:13+00:00,2018-03-01 17:31:25+00:00,13.97861111111111
declaration 100553,2018-02-17 22:32:24+00:00,2018-03-05 17:30:57+00:00,15.790659722222221
declaration 100563,2018-02-19 08:31:19+00:00,2018-03-01 17:31:25+00:00,10.375069444444444
declaration 100569,2018-02-19 08:48:56+00:00,2018-02-22 17:30:39+00:00,3.362303240740741
declaration 100574,2018-02-19 09:13:31+00:00,2018-02-26 17:31:27+00:00,7.345787037037037
declaration 100579,2018-02-19 11:40:31+00:00,2018-02-26 17:31:27+00:00,7.243703703703703
declaration 100584,2018-02-19 12:36:19+00:00,2018-02-22 17:30:39+00:00,3.2043981481481483
declaration 100589,2018-02-19 12:37:15+00:00,2018-02-26 17:31:27+00:00,7.204305555555556
declaration 100594,2018-02-19 13:09:35+00:00,2018-02-22 17:30:39+00:00,3.1812962962962965
declaration 100599,2018-02-19 13:41:03+00:00,2018-02-26 17:31:27+00:00,7.16
declaration 100604,2018-02-19 14:34:48+00:00,2018-02-22 17:30:39+00:00,3.1221180555555557
declaration 100610,2018-02-19 16:05:49+00:00,2018-02-26 17:31:27+00:00,7.0594675925925925
declaration 100616,2018-02-19 16:08:47+00:00,2018-02-26 17:31:27+00:00,7.057407407407408
declaration 100622,2018-02-20 10:13:35+00:00,2018-02-26 17:31:27+00:00,6.304074074074074
declaration 100627,2018-02-20 10:39:35+00:00,2018-02-26 17:31:27+00:00,6.286018518518518
declaration 100632,2018-02-20 10:42:21+00:00,2018-02-26 17:31:27+00:00,6.284097222222222
declaration 100637,2018-02-20 10:51:22+00:00,2018-03-15 17:31:14+00:00,23.277685185185184
declaration 100642,2018-02-20 11:16:42+00:00,2018-02-26 17:31:27+00:00,6.260243055555556
declaration 100647,2018-02-20 12:58:23+00:00,2018-02-26 17:31:27+00:00,6.189629629629629
declaration 100652,2018-02-20 13:57:49+00:00,2018-02-26 17:31:27+00:00,6.148356481481481
declaration 100657,2018-01-06 15:52:55+00:00,2018-01-11 17:30:56+00:00,5.06806712962963
declaration 100662,2018-01-07 22:31:57+00:00,2018-01-11 17:30:56+00:00,3.790960648148148
declaration 100667,2018-01-08 08:50:11+00:00,2018-01-22 17:31:16+00:00,14.361863425925925
declaration 100672,2018-01-08 09:41:31+00:00,2018-01-25 17:31:07+00:00,17.32611111111111
declaration 100677,2018-01-08 09:46:12+00:00,2018-01-18 17:31:07+00:00,10.322858796296297
declaration 100683,2018-01-08 11:25:33+00:00,2018-02-08 17:31:10+00:00,31.253900462962964
declaration 100688,2018-01-08 11:46:08+00:00,2018-01-11 17:30:56+00:00,3.2394444444444446
declaration 100693,2018-01-08 12:03:17+00:00,2018-01-11 17:30:56+00:00,3.2275347222222224
declaration 100698,2018-01-08 15:05:07+00:00,2018-01-11 17:30:56+00:00,3.101261574074074
declaration 100703,2018-01-08 15:05:49+00:00,2018-01-15 17:31:31+00:00,7.101180555555556
declaration 100708,2018-01-08 15:08:10+00:00,2018-01-22 17:31:16+00:00,14.099375
declaration 100718,2018-01-08 16:12:27+00:00,2018-01-11 17:30:56+00:00,3.054502314814815
declaration 100723,2018-01-08 16:24:37+00:00,2019-04-22 23:04:55+00:00,469.2779861111111
declaration 100726,2018-01-08 19:15:57+00:00,2018-01-11 17:30:56+00:00,2.927071759259259
declaration 100731,2018-01-08 22:02:05+00:00,2018-01-15 17:31:31+00:00,6.812106481481481
declaration 100737,2018-01-08 22:06:49+00:00,2018-01-15 17:31:31+00:00,6.8088194444444445
declaration 100743,2018-01-09 09:02:04+00:00,2018-01-11 17:30:56+00:00,2.3533796296296297
declaration 100748,2018-01-09 09:11:59+00:00,2018-01-22 17:31:16+00:00,13.346724537037037
declaration 100753,2018-01-09 09:55:26+00:00,2018-01-11 17:30:56+00:00,2.3163194444444444
declaration 100759,2018-01-09 10:48:26+00:00,2018-01-22 17:31:16+00:00,13.279745370370371
declaration 100764,2018-01-09 10:59:53+00:00,2018-01-09 13:18:55+00:00,0.09655092592592593
declaration 100768,2018-01-09 15:25:24+00:00,2018-01-18 17:31:07+00:00,9.087303240740741
declaration 100773,2018-01-09 15:51:09+00:00,2018-01-22 17:31:16+00:00,13.069525462962963
declaration 100778,2018-01-22 19:11:33+00:00,2018-01-29 17:31:10+00:00,6.930289351851852
declaration 100784,2018-01-23 10:16:42+00:00,2018-01-29 17:31:10+00:00,6.301712962962963
declaration 100789,2018-01-23 11:01:34+00:00,2018-01-29 17:31:10+00:00,6.270555555555555
declaration 100794,2018-01-23 16:01:10+00:00,2018-02-01 17:31:17+00:00,9.062581018518518
declaration 100800,2018-01-23 16:26:00+00:00,2018-01-29 17:31:10+00:00,6.045254629629629
declaration 100805,2018-01-23 16:52:46+00:00,2018-02-08 17:31:10+00:00,16.026666666666667
declaration 100811,2018-01-23 18:59:42+00:00,2018-01-29 17:31:10+00:00,5.938518518518518
declaration 100816,2018-01-23 19:01:06+00:00,2018-01-29 17:31:10+00:00,5.937546296296296
declaration 100824,2018-01-24 00:51:22+00:00,2018-01-29 17:31:10+00:00,5.694305555555555
declaration 100829,2018-01-24 07:34:01+00:00,2018-01-29 17:31:10+00:00,5.4146875
declaration 100834,2018-01-24 10:02:34+00:00,2018-01-29 17:31:10+00:00,5.311527777777778
declaration 100840,2018-01-24 10:10:00+00:00,2018-02-01 17:31:17+00:00,8.30644675925926
declaration 100845,2018-01-24 10:16:18+00:00,2018-01-29 17:31:10+00:00,5.301990740740741
declaration 100851,2018-01-24 12:25:52+00:00,2018-02-01 17:31:17+00:00,8.212094907407407
declaration 100857,2018-01-24 14:34:17+00:00,2018-03-01 17:31:25+00:00,36.12300925925926
declaration 100863,2018-01-24 16:38:30+00:00,2018-02-05 17:31:02+00:00,12.03648148148148
declaration 100869,2018-01-24 16:41:25+00:00,2018-01-29 17:31:10+00:00,5.034548611111111
declaration 100874,2018-01-24 19:07:24+00:00,2018-02-05 17:31:02+00:00,11.933078703703703
declaration 100880,2018-01-24 22:34:06+00:00,2018-01-24 22:34:06+00:00,0.0
declaration 100882,2018-01-24 23:08:15+00:00,2018-02-08 17:31:10+00:00,14.765914351851851
declaration 100887,2018-01-25 08:04:39+00:00,2018-01-29 17:31:10+00:00,4.393414351851852
declaration 100892,2018-01-25 09:47:49+00:00,2018-02-05 17:31:02+00:00,11.321678240740741
declaration 100897,2018-01-25 10:06:19+00:00,2018-02-08 17:31:10+00:00,14.308923611111112
declaration 100902,2018-01-25 11:27:59+00:00,2018-01-29 17:31:10+00:00,4.252210648148148
declaration 100908,2018-01-25 20:36:28+00:00,2018-01-29 17:31:10+00:00,3.8713194444444445
declaration 100913,2018-01-26 08:49:05+00:00,2018-02-05 17:31:02+00:00,10.362465277777778
declaration 100919,2018-01-26 09:48:17+00:00,2018-02-22 17:30:39+00:00,27.321087962962963
declaration 100928,2018-02-20 17:30:35+00:00,2018-03-01 17:31:25+00:00,9.000578703703704
declaration 100936,2018-02-20 17:34:12+00:00,2018-02-26 17:31:27+00:00,5.998090277777778
declaration 100941,2018-02-20 17:35:36+00:00,2018-03-01 17:31:25+00:00,8.997094907407407
declaration 100949,2018-02-21 09:29:06+00:00,2018-03-01 17:31:25+00:00,8.33494212962963
declaration 100954,2018-02-21 10:28:06+00:00,2018-02-26 17:31:27+00:00,5.293993055555555
declaration 100960,2018-02-21 10:34:38+00:00,2018-03-01 17:31:25+00:00,8.289432870370371
declaration 100965,2018-02-21 13:17:58+00:00,2018-03-08 17:30:58+00:00,15.175694444444444
declaration 100971,2018-02-21 16:31:49+00:00,2018-03-08 17:30:58+00:00,15.04107638888889
declaration 100988,2018-02-22 10:09:22+00:00,2018-03-08 17:30:58+00:00,14.306666666666667
declaration 100994,2018-02-22 12:16:56+00:00,2018-03-01 17:31:25+00:00,7.218391203703704
declaration 100999,2018-02-22 12:32:37+00:00,2018-03-01 17:31:25+00:00,7.2075
declaration 101004,2018-02-22 13:27:53+00:00,2018-03-01 17:31:25+00:00,7.16912037037037
declaration 101009,2018-02-22 15:08:18+00:00,2018-03-01 17:31:25+00:00,7.0993865740740745
declaration 101014,2018-02-22 16:03:45+00:00,2018-03-01 17:31:25+00:00,7.060879629629629
declaration 101019,2018-02-22 16:18:08+00:00,2018-03-01 17:31:25+00:00,7.050891203703704
declaration 101024,2018-02-22 16:20:14+00:00,2018-03-01 17:31:25+00:00,7.049432870370371
declaration 101029,2018-02-23 08:59:25+00:00,2018-03-05 17:30:57+00:00,10.355231481481482
declaration 101035,2018-02-23 09:39:43+00:00,2018-03-05 17:30:57+00:00,10.32724537037037
declaration 101041,2018-02-23 09:51:10+00:00,2018-03-12 17:31:14+00:00,17.31949074074074
declaration 101047,2018-02-23 10:27:17+00:00,2018-03-08 17:30:58+00:00,13.294224537037037
declaration 101053,2018-02-23 11:50:29+00:00,2018-03-01 17:31:25+00:00,6.23675925925926
declaration 101059,2018-02-23 14:47:25+00:00,2018-03-01 17:31:25+00:00,6.113888888888889
declaration 101064,2018-02-23 15:43:59+00:00,2018-03-12 17:31:14+00:00,17.074479166666666
declaration 101070,2018-02-23 16:13:52+00:00,2018-03-12 17:31:14+00:00,17.053726851851852
declaration 101079,2018-02-23 16:37:06+00:00,2018-03-01 17:31:25+00:00,6.037719907407407
declaration 101084,2018-01-08 07:05:15+00:00,2018-02-12 17:31:20+00:00,35.43478009259259
declaration 101094,2018-01-09 16:38:27+00:00,2018-01-15 17:31:31+00:00,6.036851851851852
declaration 101099,2018-01-10 09:34:04+00:00,2018-01-15 17:31:31+00:00,5.3315625
declaration 101105,2018-01-10 16:10:48+00:00,2018-01-18 17:31:07+00:00,8.055775462962963
declaration 101110,2018-01-10 18:24:42+00:00,2018-01-15 17:31:31+00:00,4.963067129629629
declaration 101115,2018-01-11 09:57:23+00:00,2018-01-15 17:31:31+00:00,4.3153703703703705
declaration 101120,2018-01-11 13:15:53+00:00,2018-01-18 17:31:07+00:00,7.17724537037037
declaration 101126,2018-01-11 14:50:23+00:00,2018-02-01 17:31:17+00:00,21.11173611111111
declaration 101132,2018-01-11 15:00:55+00:00,2018-01-22 17:31:16+00:00,11.104409722222222
declaration 101140,2018-01-11 16:40:33+00:00,2018-02-01 17:31:17+00:00,21.035231481481482
declaration 101149,2018-01-11 16:42:25+00:00,2018-03-01 17:31:25+00:00,49.03402777777778
declaration 101155,2018-01-11 16:46:31+00:00,2018-02-15 17:31:17+00:00,35.031087962962964
declaration 101164,2018-01-12 09:19:20+00:00,2018-01-15 17:31:31+00:00,3.3417939814814814
declaration 101169,2018-01-12 13:30:21+00:00,2018-01-22 17:31:16+00:00,10.167303240740742
declaration 101174,2018-01-12 13:44:43+00:00,2018-01-25 17:31:07+00:00,13.157222222222222
declaration 101182,2018-01-12 13:55:48+00:00,2018-01-22 17:31:16+00:00,10.14962962962963
declaration 101188,2018-01-12 16:16:57+00:00,2018-02-01 17:31:17+00:00,20.05162037037037
declaration 101194,2018-01-12 16:57:56+00:00,2018-02-01 17:31:17+00:00,20.02315972222222
declaration 101200,2018-01-12 17:07:31+00:00,2018-01-22 17:31:16+00:00,10.016493055555555
declaration 101205,2018-01-12 17:08:03+00:00,2018-01-22 17:31:16+00:00,10.016122685185184
declaration 101210,2018-01-14 21:13:44+00:00,2018-01-18 17:31:07+00:00,3.8454050925925927
declaration 101215,2018-01-15 09:29:26+00:00,2018-01-22 17:31:16+00:00,7.334606481481481
declaration 101220,2018-01-29 12:10:42+00:00,2018-02-08 17:31:10+00:00,10.222546296296295
declaration 101226,2018-01-29 19:19:06+00:00,2018-02-08 17:31:10+00:00,9.925046296296296
declaration 101232,2018-01-29 19:48:22+00:00,2018-02-15 17:31:17+00:00,16.90480324074074
declaration 101238,2018-01-30 10:09:28+00:00,2018-02-05 17:31:02+00:00,6.306643518518518
declaration 101243,2018-01-26 11:00:12+00:00,2018-02-05 17:31:02+00:00,10.271412037037036
declaration 101248,2018-01-26 11:04:09+00:00,2018-02-08 17:31:10+00:00,13.268761574074073
declaration 101254,2018-01-26 12:30:27+00:00,2018-02-05 17:31:02+00:00,10.208738425925926
declaration 101259,2018-01-26 16:19:11+00:00,2018-02-12 17:31:20+00:00,17.050104166666667
declaration 101265,2018-01-26 16:46:25+00:00,2018-02-01 17:31:17+00:00,6.031157407407408
declaration 101270,2018-01-26 21:35:13+00:00,2018-02-05 17:31:02+00:00,9.83042824074074
declaration 101275,2018-01-27 08:19:31+00:00,2018-02-05 17:31:02+00:00,9.382997685185185
declaration 101280,2018-01-27 10:47:33+00:00,2018-06-28 17:31:33+00:00,152.28055555555557
declaration 101285,2018-01-27 11:35:27+00:00,2018-02-05 17:31:02+00:00,9.24693287037037
declaration 101291,2018-01-27 11:35:51+00:00,2018-02-05 17:31:02+00:00,9.246655092592592
declaration 101297,2018-02-24 14:15:44+00:00,2018-03-08 17:30:58+00:00,12.135578703703704
declaration 101303,2018-02-25 09:59:40+00:00,2018-02-26 14:24:44+00:00,1.184074074074074
declaration 101307,2018-02-26 11:12:17+00:00,2018-03-01 17:31:25+00:00,3.263287037037037
declaration 101312,2018-02-26 11:22:29+00:00,2018-03-12 17:31:14+00:00,14.25607638888889
declaration 101317,2018-02-26 13:07:54+00:00,2018-03-01 17:31:25+00:00,3.1829976851851853
declaration 101323,2018-02-26 14:23:46+00:00,2018-03-01 17:31:25+00:00,3.1303125
declaration 101328,2018-02-26 14:32:58+00:00,2018-03-05 17:30:57+00:00,7.123599537037037
declaration 101334,2018-02-26 14:48:07+00:00,2018-03-08 17:30:58+00:00,10.113090277777777
declaration 101340,2018-02-26 16:42:48+00:00,2018-03-01 17:31:25+00:00,3.033761574074074
declaration 101345,2018-02-26 17:16:28+00:00,2018-03-12 17:31:14+00:00,14.01025462962963
declaration 101351,2018-02-26 17:20:04+00:00,2018-03-05 17:30:57+00:00,7.007557870370371
declaration 101356,2018-02-26 17:31:21+00:00,2018-03-12 17:31:14+00:00,13.999918981481482
declaration 101362,2018-02-26 17:31:56+00:00,2018-03-05 17:30:57+00:00,6.999317129629629
declaration 101368,2018-02-26 22:26:19+00:00,2018-03-01 17:31:25+00:00,2.7952083333333335
declaration 101374,2018-02-27 09:09:55+00:00,2018-03-12 17:31:14+00:00,13.348136574074074
declaration 101379,2018-02-27 09:16:32+00:00,2018-03-12 17:31:14+00:00,13.343541666666667
declaration 101384,2018-02-27 09:29:37+00:00,2018-03-05 17:30:57+00:00,6.33425925925926
declaration 101389,2018-02-27 09:31:50+00:00,2018-03-08 17:30:58+00:00,9.332731481481481
declaration 101394,2018-02-27 09:41:57+00:00,2018-03-05 17:30:57+00:00,6.325694444444444
declaration 101399,2018-02-27 10:13:33+00:00,2018-03-12 17:31:14+00:00,13.30394675925926
declaration 101404,2018-02-27 10:27:45+00:00,2018-03-12 17:31:14+00:00,13.294085648148148
declaration 101410,2018-02-27 11:22:55+00:00,2018-03-08 17:30:58+00:00,9.255590277777777
declaration 101415,2018-02-27 12:14:12+00:00,2018-03-05 17:30:57+00:00,6.219965277777778
declaration 101421,2018-02-27 15:12:45+00:00,2018-03-05 17:30:57+00:00,6.095972222222223
declaration 101426,2018-02-27 15:19:55+00:00,2018-02-27 15:19:55+00:00,0.0
declaration 101428,2018-02-27 17:48:29+00:00,2018-03-05 17:30:57+00:00,5.987824074074074
declaration 101436,2018-01-15 17:05:07+00:00,2018-02-19 17:31:31+00:00,35.01833333333333
declaration 101442,2018-01-15 17:12:59+00:00,2018-02-19 17:31:31+00:00,35.01287037037037
declaration 101448,2018-01-16 15:03:52+00:00,2018-01-22 17:31:16+00:00,6.102361111111111
declaration 101453,2018-01-17 11:01:37+00:00,2018-02-01 17:31:17+00:00,15.270601851851852
declaration 101459,2018-01-17 11:39:32+00:00,2018-01-29 17:31:10+00:00,12.244189814814815
declaration 101465,2018-01-17 13:24:47+00:00,2018-02-01 17:31:17+00:00,15.171180555555555
declaration 101471,2018-01-17 15:47:21+00:00,2018-01-22 17:31:16+00:00,5.0721643518518515
declaration 101477,2018-01-18 09:56:05+00:00,2018-01-18 16:02:32+00:00,0.25447916666666665
declaration 101481,2018-01-18 10:52:31+00:00,2018-02-02 13:12:04+00:00,15.096909722222222
declaration 101485,2018-01-18 16:35:26+00:00,2018-01-25 17:31:07+00:00,7.038668981481481
declaration 101490,2018-01-19 09:47:23+00:00,2018-01-25 17:31:07+00:00,6.322037037037037
declaration 101495,2018-01-19 10:17:46+00:00,2018-02-01 17:31:17+00:00,13.30105324074074
declaration 101501,2018-01-19 11:24:16+00:00,2018-01-25 17:31:07+00:00,6.254756944444445
declaration 101506,2018-01-19 11:30:45+00:00,2018-01-25 17:31:07+00:00,6.250254629629629
declaration 101512,2018-01-19 11:46:30+00:00,2018-01-25 17:31:07+00:00,6.2393171296296295
declaration 101517,2018-01-19 13:41:23+00:00,2018-02-13 17:31:07+00:00,25.159537037037037
declaration 101522,2018-01-19 13:55:47+00:00,2018-02-01 17:31:17+00:00,13.149652777777778
declaration 101528,2018-01-27 14:06:56+00:00,2018-02-01 17:31:17+00:00,5.1419097222222225
declaration 101533,2018-01-28 10:22:43+00:00,2018-02-05 17:31:02+00:00,8.29744212962963
declaration 101538,2018-01-28 18:28:36+00:00,2018-02-08 17:31:10+00:00,10.96011574074074
declaration 101543,2018-01-28 20:14:01+00:00,2018-02-01 17:31:17+00:00,3.8869907407407407
declaration 101548,2018-01-29 08:48:09+00:00,2018-02-05 17:31:02+00:00,7.363113425925926
declaration 101553,2018-01-29 09:52:13+00:00,2018-02-08 17:31:10+00:00,10.318715277777779
declaration 101558,2018-01-29 09:52:28+00:00,2018-02-08 17:31:10+00:00,10.318541666666667
declaration 101566,2018-01-29 09:57:02+00:00,2018-02-08 17:31:10+00:00,10.31537037037037
declaration 101572,2018-01-29 11:28:39+00:00,2018-02-05 17:31:02+00:00,7.251655092592593
declaration 101577,2018-01-29 12:23:10+00:00,2018-02-08 17:31:10+00:00,10.213888888888889
declaration 101583,2018-01-29 12:35:28+00:00,2018-02-08 17:31:10+00:00,10.205347222222223
declaration 101589,2018-01-29 12:41:07+00:00,2018-02-08 17:31:10+00:00,10.20142361111111
declaration 101595,2018-01-29 15:27:29+00:00,2018-02-08 17:31:10+00:00,10.085891203703703
declaration 101600,2018-01-29 15:56:00+00:00,2018-02-05 17:31:02+00:00,7.06599537037037
declaration 101605,2018-01-29 16:11:10+00:00,2018-02-08 17:31:10+00:00,10.055555555555555
