case_id,activity,repeat_count,rework_type,is_loop_rework
declaration 12110,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12126,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1214,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12158,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 12310,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12419,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12439,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12479,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12499,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12513,Permit SUBMITTED by EMPLOYEE,3,major,True
declaration 12515,Permit SUBMITTED by EMPLOYEE,3,major,True
declaration 12674,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12777,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12814,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12830,Declaration SUBMITTED by EMPLOYEE,4,major,True
declaration 12830,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 12830,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 12852,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12887,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12913,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12913,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 12927,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12962,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 12988,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1300,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13005,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13117,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13132,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13251,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 13251,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 13251,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 13321,Send Reminder,2,minor,False
declaration 13333,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 13423,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1348,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1348,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 13506,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13530,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13544,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 13544,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13560,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13618,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 13688,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13688,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 13719,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13800,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13800,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 13899,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 13958,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14048,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 14048,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 14048,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 14112,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14168,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14182,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 143502,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 143546,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 143546,Declaration APPROVED by PRE_APPROVER,2,minor,True
declaration 143558,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 143558,Declaration APPROVED by PRE_APPROVER,2,minor,True
declaration 14358,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 143585,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 143585,Declaration REJECTED by SUPERVISOR,2,minor,True
declaration 143585,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 143644,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 143644,Declaration FINAL_APPROVED by SUPERVISOR,3,major,True
declaration 143644,Declaration REJECTED by MISSING,2,minor,True
declaration 143885,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144012,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144269,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144371,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144371,Declaration APPROVED by PRE_APPROVER,2,minor,True
declaration 144371,Declaration FINAL_APPROVED by SUPERVISOR,2,minor,True
declaration 144437,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144523,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 144523,Declaration APPROVED by PRE_APPROVER,2,minor,True
declaration 144523,Declaration FINAL_APPROVED by SUPERVISOR,2,minor,True
declaration 144589,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144589,Declaration APPROVED by SUPERVISOR,2,minor,True
declaration 144589,Declaration FINAL_APPROVED by DIRECTOR,2,minor,True
declaration 1446,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 1446,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 1446,Permit APPROVED by BUDGET OWNER,2,minor,True
declaration 1446,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 1446,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 1446,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 144624,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144633,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14483,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14483,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 144860,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144946,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144946,Declaration FINAL_APPROVED by SUPERVISOR,2,minor,True
declaration 144996,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 144996,Declaration APPROVED by PRE_APPROVER,2,minor,True
declaration 145165,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145243,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145282,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145282,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 145296,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145355,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14539,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14539,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 14539,Declaration APPROVED by BUDGET OWNER,2,minor,True
declaration 145398,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145416,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145427,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145437,Declaration SUBMITTED by EMPLOYEE,4,major,True
declaration 145437,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 145437,Declaration REJECTED by EMPLOYEE,3,major,True
declaration 145466,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145558,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14557,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145657,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145703,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145748,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145777,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145777,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 14582,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 14582,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 14582,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 145828,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 145828,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 145828,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 145913,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145931,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145950,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 145950,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 146068,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146080,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146090,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14610,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 14610,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 14610,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 146100,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146145,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146343,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146372,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146396,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146407,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146426,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146488,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146517,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146535,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146561,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146628,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14684,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 14684,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 14684,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 146861,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146894,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146906,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 146954,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147001,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147028,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147039,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 147039,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 147039,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 147053,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147073,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147083,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147116,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14712,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147127,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147187,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147198,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147250,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 147250,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 147250,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 147263,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147274,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 147274,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 147274,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 147313,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147325,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147340,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 147340,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 147340,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 147425,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147452,Declaration SUBMITTED by EMPLOYEE,4,major,True
declaration 147452,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 147452,Declaration REJECTED by EMPLOYEE,3,major,True
declaration 147487,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 147514,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14824,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14838,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 14838,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 14838,Declaration APPROVED by BUDGET OWNER,2,minor,True
declaration 14881,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 14881,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 14881,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 14933,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1501,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15037,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 15050,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 15050,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 15050,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15080,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15105,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15168,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 15189,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 15189,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 15189,Declaration REJECTED by EMPLOYEE,3,major,True
declaration 15232,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 15232,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 15232,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 15250,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15287,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 15287,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 15287,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 15321,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15436,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 1544,Send Reminder,2,minor,False
declaration 15466,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15492,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15510,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15548,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 15548,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 15548,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 1555,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15657,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1574,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 1574,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 1574,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 15753,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15856,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 15856,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 15856,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 15880,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 15880,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 15880,Declaration APPROVED by BUDGET OWNER,2,minor,True
declaration 15938,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 15938,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 1597,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16041,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16230,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 16230,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 16230,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 16262,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16408,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16462,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16485,Permit SUBMITTED by EMPLOYEE,3,major,True
declaration 16485,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 16485,Permit REJECTED by EMPLOYEE,2,minor,True
declaration 16485,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 16485,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 16485,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 16485,Declaration APPROVED by BUDGET OWNER,2,minor,True
declaration 16537,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 1656,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16616,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 16616,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16677,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 16677,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 16677,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 16707,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16799,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 16799,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 16799,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 16825,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16929,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1694,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 16985,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17020,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17104,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 17104,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 17104,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 17123,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 17123,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 17123,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 17234,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17286,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 17378,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 17378,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 17439,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 17439,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 17439,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 17519,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17534,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17551,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17664,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17706,Declaration SUBMITTED by EMPLOYEE,4,major,True
declaration 17706,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 17706,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 17771,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17841,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17891,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17922,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 17937,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 17937,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 17937,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 18042,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18062,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18111,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18149,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 18149,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 18149,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 1817,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18313,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1838,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18415,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18428,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18468,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18500,Declaration SUBMITTED by EMPLOYEE,5,major,True
declaration 18500,Declaration REJECTED by ADMINISTRATION,4,major,True
declaration 18500,Declaration REJECTED by EMPLOYEE,4,major,True
declaration 1851,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18538,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18581,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18595,Permit SUBMITTED by EMPLOYEE,4,major,True
declaration 18595,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 18595,Permit APPROVED by BUDGET OWNER,2,minor,True
declaration 18595,Permit REJECTED by EMPLOYEE,3,major,True
declaration 18595,Permit REJECTED by ADMINISTRATION,2,minor,True
declaration 18618,Permit SUBMITTED by EMPLOYEE,3,major,True
declaration 18618,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 18618,Permit APPROVED by BUDGET OWNER,2,minor,True
declaration 18618,Permit REJECTED by EMPLOYEE,2,minor,True
declaration 18618,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18688,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18690,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 18714,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 18714,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 18714,Permit APPROVED by BUDGET OWNER,2,minor,True
declaration 18714,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1886,Send Reminder,2,minor,False
declaration 18871,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19036,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19063,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19086,Permit SUBMITTED by EMPLOYEE,3,major,True
declaration 19086,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 19086,Permit REJECTED by EMPLOYEE,2,minor,True
declaration 19086,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19108,Permit SUBMITTED by EMPLOYEE,3,major,True
declaration 19108,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 19108,Permit REJECTED by EMPLOYEE,2,minor,True
declaration 19108,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19153,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 1924,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19290,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19405,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 19405,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 19405,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 19449,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 19531,Declaration SUBMITTED by EMPLOYEE,2,minor,True
