variant,frequency
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,38
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,37
Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,36
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by PRE_APPROVER -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,35
Permit SUBMITTED by EMPLOYEE -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,33
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Start trip -> Permit FINAL_APPROVED by SUPERVISOR -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,33
Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> Start trip -> End trip,33
Permit SUBMITTED by EMPLOYEE -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,30
Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,28
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration REJECTED by SUPERVISOR -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,27
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Start trip -> End trip -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,27
Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Send Reminder -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,25
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by SUPERVISOR -> Declaration FINAL_APPROVED by DIRECTOR -> Request Payment -> Payment Handled,24
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,24
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Send Reminder -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,23
Permit SUBMITTED by EMPLOYEE -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Declaration REJECTED by MISSING -> Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,22
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Declaration REJECTED by MISSING -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,22
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Start trip -> End trip -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,21
Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> Start trip -> End trip,21
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,21
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> End trip,20
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by SUPERVISOR -> Declaration FINAL_APPROVED by DIRECTOR -> Request Payment -> Payment Handled,19
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> Declaration SUBMITTED by EMPLOYEE -> End trip -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,18
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,18
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> End trip -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,18
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE,17
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Start trip -> End trip -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,17
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> End trip,16
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Send Reminder -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,16
Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,16
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> End trip,16
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> Start trip -> End trip,16
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,16
Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,15
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Start trip -> End trip -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,15
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Start trip -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,15
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,14
Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by SUPERVISOR -> Declaration FINAL_APPROVED by DIRECTOR -> Request Payment -> Payment Handled -> Start trip -> End trip,14
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> Start trip -> End trip,13
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SAVED by EMPLOYEE,12
Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit REJECTED by ADMINISTRATION -> Permit REJECTED by EMPLOYEE -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,12
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit REJECTED by SUPERVISOR -> Permit REJECTED by EMPLOYEE -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,12
Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,12
Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by SUPERVISOR -> Declaration FINAL_APPROVED by DIRECTOR -> Request Payment -> Payment Handled -> Start trip -> End trip,11
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,11
Permit SUBMITTED by EMPLOYEE -> Permit REJECTED by PRE_APPROVER -> Permit REJECTED by EMPLOYEE -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,11
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Start trip -> End trip,11
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> End trip -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,11
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,11
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> End trip -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,10
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> End trip,10
Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Start trip -> Permit APPROVED by BUDGET OWNER -> End trip -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,10
Start trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> End trip -> Send Reminder -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,10
Permit SUBMITTED by EMPLOYEE -> Permit REJECTED by ADMINISTRATION -> Permit REJECTED by EMPLOYEE -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled,9
