case_id,issue
declaration 144542,Trip without permit final approval
declaration 144550,Trip without permit final approval
declaration 144554,Trip without permit final approval
declaration 144561,Trip without permit final approval
declaration 144569,Trip without permit final approval
declaration 144575,Trip without permit final approval
declaration 144581,Trip without permit final approval
declaration 144589,Trip without permit final approval
declaration 144602,Trip without permit final approval
declaration 144609,Trip without permit final approval
declaration 144617,Trip without permit final approval
declaration 144624,Trip without permit final approval
declaration 144633,Trip without permit final approval
declaration 144643,Trip without permit final approval
declaration 144654,Trip without permit final approval
declaration 144661,Trip without permit final approval
declaration 144672,Trip without permit final approval
declaration 144679,Trip without permit final approval
declaration 144687,Trip without permit final approval
declaration 144693,Trip without permit final approval
declaration 144700,Trip without permit final approval
declaration 144707,Trip without permit final approval
declaration 144713,Trip without permit final approval
declaration 144720,Trip without permit final approval
declaration 144727,Trip without permit final approval
declaration 144734,Trip without permit final approval
declaration 144741,Trip without permit final approval
declaration 144748,Trip without permit final approval
declaration 144752,Trip without permit final approval
declaration 144758,Trip without permit final approval
declaration 144765,Trip without permit final approval
declaration 144771,Trip without permit final approval
declaration 144777,Trip without permit final approval
declaration 144783,Trip without permit final approval
declaration 144790,Trip without permit final approval
declaration 144797,Trip without permit final approval
declaration 144803,Trip without permit final approval
declaration 144810,Trip without permit final approval
declaration 144816,Trip without permit final approval
declaration 144824,Trip without permit final approval
declaration 144832,Trip without permit final approval
declaration 144838,Trip without permit final approval
declaration 144845,Trip without permit final approval
declaration 144852,Trip without permit final approval
declaration 144858,Trip without permit final approval
declaration 144860,Trip without permit final approval
declaration 144873,Trip without permit final approval
declaration 144879,Trip without permit final approval
declaration 144884,Trip without permit final approval
declaration 144890,Trip without permit final approval
declaration 144899,Trip without permit final approval
declaration 144905,Trip without permit final approval
declaration 144912,Trip without permit final approval
declaration 144919,Trip without permit final approval
declaration 144926,Trip without permit final approval
declaration 144933,Trip without permit final approval
declaration 144939,Trip without permit final approval
declaration 144946,Trip without permit final approval
declaration 144955,Trip without permit final approval
declaration 144964,Trip without permit final approval
declaration 144968,Trip without permit final approval
declaration 144974,Trip without permit final approval
declaration 144979,Trip without permit final approval
declaration 144986,Trip without permit final approval
declaration 144992,Trip without permit final approval
declaration 144996,Trip without permit final approval
declaration 145007,Trip without permit final approval
declaration 145020,Trip without permit final approval
declaration 145020,Declaration submitted without final approval
declaration 145027,Trip without permit final approval
declaration 145035,Trip without permit final approval
declaration 145045,Trip without permit final approval
declaration 145053,Trip without permit final approval
declaration 145062,Trip without permit final approval
declaration 145069,Trip without permit final approval
declaration 145079,Trip without permit final approval
declaration 145087,Trip without permit final approval
declaration 145095,Trip without permit final approval
declaration 145102,Trip without permit final approval
declaration 145110,Trip without permit final approval
declaration 145117,Trip without permit final approval
declaration 145125,Trip without permit final approval
declaration 145138,Trip without permit final approval
declaration 145147,Trip without permit final approval
declaration 145155,Trip without permit final approval
declaration 145165,Trip without permit final approval
declaration 145177,Trip without permit final approval
declaration 145185,Trip without permit final approval
declaration 145192,Trip without permit final approval
declaration 145201,Trip without permit final approval
declaration 145209,Trip without permit final approval
declaration 145217,Trip without permit final approval
declaration 145225,Trip without permit final approval
declaration 145235,Trip without permit final approval
declaration 145243,Trip without permit final approval
declaration 145254,Trip without permit final approval
declaration 145262,Trip without permit final approval
declaration 145271,Trip without permit final approval
declaration 145282,Trip without permit final approval
declaration 145296,Trip without permit final approval
declaration 145307,Trip without permit final approval
declaration 145315,Trip without permit final approval
declaration 145324,Trip without permit final approval
declaration 145332,Trip without permit final approval
declaration 145340,Trip without permit final approval
declaration 145348,Trip without permit final approval
declaration 145355,Trip without permit final approval
declaration 145367,Trip without permit final approval
declaration 145375,Trip without permit final approval
declaration 145382,Trip without permit final approval
declaration 145390,Trip without permit final approval
declaration 145398,Trip without permit final approval
declaration 145408,Trip without permit final approval
declaration 145416,Trip without permit final approval
declaration 145427,Trip without permit final approval
declaration 145437,Trip without permit final approval
declaration 145454,Trip without permit final approval
declaration 145458,Trip without permit final approval
declaration 145466,Trip without permit final approval
declaration 145476,Trip without permit final approval
declaration 145485,Trip without permit final approval
declaration 145493,Trip without permit final approval
declaration 145501,Trip without permit final approval
declaration 145509,Trip without permit final approval
declaration 145517,Trip without permit final approval
declaration 145524,Trip without permit final approval
declaration 145529,Trip without permit final approval
declaration 145537,Trip without permit final approval
declaration 145544,Trip without permit final approval
declaration 145551,Trip without permit final approval
declaration 145558,Trip without permit final approval
declaration 145566,Trip without permit final approval
declaration 145574,Trip without permit final approval
declaration 145582,Trip without permit final approval
declaration 145589,Trip without permit final approval
declaration 145589,Declaration submitted without final approval
declaration 145595,Trip without permit final approval
declaration 145595,Declaration submitted without final approval
declaration 145601,Trip without permit final approval
declaration 145610,Trip without permit final approval
declaration 145618,Trip without permit final approval
declaration 145626,Trip without permit final approval
declaration 145633,Trip without permit final approval
declaration 145640,Trip without permit final approval
declaration 145649,Trip without permit final approval
declaration 145657,Trip without permit final approval
declaration 145667,Trip without permit final approval
declaration 145674,Trip without permit final approval
declaration 145682,Trip without permit final approval
declaration 145682,Declaration submitted without final approval
declaration 145690,Trip without permit final approval
declaration 145696,Trip without permit final approval
declaration 145703,Trip without permit final approval
declaration 145715,Trip without permit final approval
declaration 145725,Trip without permit final approval
declaration 145734,Trip without permit final approval
declaration 145741,Trip without permit final approval
declaration 145748,Trip without permit final approval
declaration 145762,Trip without permit final approval
declaration 145769,Trip without permit final approval
declaration 145777,Trip without permit final approval
declaration 145790,Trip without permit final approval
declaration 145798,Trip without permit final approval
declaration 145806,Trip without permit final approval
declaration 145813,Trip without permit final approval
declaration 145822,Trip without permit final approval
declaration 145828,Trip without permit final approval
declaration 145845,Trip without permit final approval
declaration 145852,Trip without permit final approval
declaration 145859,Trip without permit final approval
declaration 145864,Trip without permit final approval
declaration 145872,Trip without permit final approval
declaration 145880,Trip without permit final approval
declaration 145888,Trip without permit final approval
declaration 145895,Trip without permit final approval
declaration 145903,Trip without permit final approval
declaration 145913,Trip without permit final approval
declaration 145924,Trip without permit final approval
declaration 145931,Trip without permit final approval
declaration 145942,Trip without permit final approval
declaration 145950,Trip without permit final approval
declaration 145961,Trip without permit final approval
declaration 145970,Trip without permit final approval
declaration 145978,Trip without permit final approval
declaration 145986,Trip without permit final approval
declaration 145994,Trip without permit final approval
declaration 146002,Trip without permit final approval
declaration 146011,Trip without permit final approval
declaration 146018,Trip without permit final approval
declaration 146025,Trip without permit final approval
declaration 146032,Trip without permit final approval
declaration 146040,Trip without permit final approval
declaration 146048,Trip without permit final approval
declaration 146056,Trip without permit final approval
declaration 146056,Declaration submitted without final approval
declaration 146060,Trip without permit final approval
declaration 146068,Trip without permit final approval
declaration 146080,Trip without permit final approval
declaration 146090,Trip without permit final approval
declaration 146100,Trip without permit final approval
declaration 146110,Trip without permit final approval
declaration 146117,Trip without permit final approval
declaration 146125,Trip without permit final approval
declaration 146132,Trip without permit final approval
declaration 146139,Trip without permit final approval
declaration 146139,Declaration submitted without final approval
declaration 146145,Trip without permit final approval
declaration 146156,Trip without permit final approval
declaration 146164,Trip without permit final approval
declaration 146172,Trip without permit final approval
declaration 146179,Trip without permit final approval
declaration 146183,Trip without permit final approval
declaration 146191,Trip without permit final approval
declaration 146199,Trip without permit final approval
declaration 146207,Trip without permit final approval
declaration 146214,Trip without permit final approval
declaration 146220,Trip without permit final approval
declaration 146226,Trip without permit final approval
declaration 146234,Trip without permit final approval
declaration 146241,Trip without permit final approval
declaration 146248,Trip without permit final approval
declaration 146255,Trip without permit final approval
declaration 146263,Trip without permit final approval
declaration 146271,Trip without permit final approval
declaration 146279,Trip without permit final approval
declaration 146287,Trip without permit final approval
declaration 146295,Trip without permit final approval
declaration 146303,Trip without permit final approval
declaration 146311,Trip without permit final approval
declaration 146320,Trip without permit final approval
declaration 146328,Trip without permit final approval
declaration 146335,Trip without permit final approval
declaration 146343,Trip without permit final approval
declaration 146353,Trip without permit final approval
declaration 146358,Trip without permit final approval
declaration 146365,Trip without permit final approval
declaration 146372,Trip without permit final approval
declaration 146382,Trip without permit final approval
declaration 146390,Trip without permit final approval
declaration 146396,Trip without permit final approval
declaration 146407,Trip without permit final approval
declaration 146418,Trip without permit final approval
declaration 146426,Trip without permit final approval
declaration 146436,Trip without permit final approval
declaration 146444,Trip without permit final approval
declaration 146451,Trip without permit final approval
declaration 146459,Trip without permit final approval
declaration 146466,Trip without permit final approval
declaration 146473,Trip without permit final approval
declaration 146480,Trip without permit final approval
declaration 146488,Trip without permit final approval
declaration 146498,Trip without permit final approval
declaration 146498,Declaration submitted without final approval
declaration 146502,Trip without permit final approval
declaration 146510,Trip without permit final approval
declaration 146517,Trip without permit final approval
declaration 146527,Trip without permit final approval
declaration 146535,Trip without permit final approval
declaration 146546,Trip without permit final approval
declaration 146553,Trip without permit final approval
declaration 146561,Trip without permit final approval
declaration 146572,Trip without permit final approval
declaration 146580,Trip without permit final approval
declaration 146588,Trip without permit final approval
declaration 146596,Trip without permit final approval
declaration 146604,Trip without permit final approval
declaration 146613,Trip without permit final approval
declaration 146621,Trip without permit final approval
declaration 146628,Trip without permit final approval
declaration 146639,Trip without permit final approval
declaration 146647,Trip without permit final approval
declaration 146655,Trip without permit final approval
declaration 146733,Trip without permit final approval
declaration 146743,Trip without permit final approval
declaration 146766,Trip without permit final approval
declaration 146785,Trip without permit final approval
declaration 146829,Trip without permit final approval
declaration 146861,Trip without permit final approval
declaration 146876,Trip without permit final approval
declaration 146884,Trip without permit final approval
declaration 146894,Trip without permit final approval
declaration 146906,Trip without permit final approval
declaration 146916,Trip without permit final approval
declaration 146923,Trip without permit final approval
declaration 146930,Trip without permit final approval
declaration 146938,Trip without permit final approval
declaration 146946,Trip without permit final approval
declaration 146954,Trip without permit final approval
declaration 146966,Trip without permit final approval
declaration 146974,Trip without permit final approval
declaration 146982,Trip without permit final approval
declaration 146992,Trip without permit final approval
declaration 147001,Trip without permit final approval
declaration 147011,Trip without permit final approval
declaration 147020,Trip without permit final approval
declaration 147028,Trip without permit final approval
declaration 147039,Trip without permit final approval
declaration 147053,Trip without permit final approval
declaration 147066,Trip without permit final approval
declaration 147073,Trip without permit final approval
declaration 147083,Trip without permit final approval
declaration 147094,Trip without permit final approval
declaration 147102,Trip without permit final approval
declaration 147102,Declaration submitted without final approval
declaration 147106,Trip without permit final approval
declaration 147106,Declaration submitted without final approval
declaration 147112,Trip without permit final approval
declaration 147116,Trip without permit final approval
declaration 147127,Trip without permit final approval
declaration 147138,Trip without permit final approval
declaration 147138,Declaration submitted without final approval
declaration 147144,Trip without permit final approval
declaration 147152,Trip without permit final approval
declaration 147159,Trip without permit final approval
declaration 147167,Trip without permit final approval
declaration 147175,Trip without permit final approval
declaration 147183,Trip without permit final approval
declaration 147183,Declaration submitted without final approval
declaration 147187,Trip without permit final approval
declaration 147198,Trip without permit final approval
declaration 147209,Trip without permit final approval
declaration 147217,Trip without permit final approval
declaration 147226,Trip without permit final approval
declaration 147234,Trip without permit final approval
declaration 147242,Trip without permit final approval
declaration 147250,Trip without permit final approval
declaration 147263,Trip without permit final approval
declaration 147274,Trip without permit final approval
declaration 147287,Trip without permit final approval
declaration 147294,Trip without permit final approval
declaration 147299,Trip without permit final approval
declaration 147305,Trip without permit final approval
declaration 147313,Trip without permit final approval
declaration 147325,Trip without permit final approval
declaration 147335,Trip without permit final approval
declaration 147340,Trip without permit final approval
declaration 147358,Trip without permit final approval
declaration 147403,Trip without permit final approval
declaration 147425,Trip without permit final approval
declaration 147452,Trip without permit final approval
declaration 147470,Trip without permit final approval
declaration 147487,Trip without permit final approval
declaration 147507,Trip without permit final approval
declaration 147514,Trip without permit final approval
declaration 14880,Declaration submitted without final approval
declaration 15189,Declaration submitted without final approval
declaration 15592,Declaration submitted without final approval
declaration 15986,Declaration submitted without final approval
declaration 16278,Declaration submitted without final approval
declaration 16517,Declaration submitted without final approval
declaration 16518,Declaration submitted without final approval
declaration 19677,Declaration submitted without final approval
declaration 20226,Declaration submitted without final approval
declaration 20227,Declaration submitted without final approval
declaration 20244,Declaration submitted without final approval
declaration 20341,Declaration submitted without final approval
declaration 2035,Declaration submitted without final approval
declaration 20963,Declaration submitted without final approval
declaration 22318,Declaration submitted without final approval
declaration 23346,Declaration submitted without final approval
declaration 23456,Declaration submitted without final approval
declaration 23795,Declaration submitted without final approval
declaration 24426,Declaration submitted without final approval
declaration 24588,Declaration submitted without final approval
declaration 2516,Declaration submitted without final approval
declaration 25532,Declaration submitted without final approval
declaration 26195,Declaration submitted without final approval
declaration 26447,Declaration submitted without final approval
declaration 2664,Declaration submitted without final approval
declaration 27391,Declaration submitted without final approval
declaration 27616,Declaration submitted without final approval
declaration 2834,Declaration submitted without final approval
declaration 28818,Declaration submitted without final approval
declaration 29149,Declaration submitted without final approval
declaration 30359,Declaration submitted without final approval
declaration 31469,Declaration submitted without final approval
declaration 3156,Declaration submitted without final approval
declaration 31575,Declaration submitted without final approval
declaration 31576,Declaration submitted without final approval
declaration 3196,Declaration submitted without final approval
declaration 32187,Declaration submitted without final approval
declaration 32841,Declaration submitted without final approval
declaration 33106,Declaration submitted without final approval
declaration 33203,Declaration submitted without final approval
declaration 33654,Declaration submitted without final approval
declaration 34073,Declaration submitted without final approval
declaration 34279,Declaration submitted without final approval
declaration 35389,Declaration submitted without final approval
declaration 36114,Declaration submitted without final approval
declaration 36198,Declaration submitted without final approval
declaration 3682,Declaration submitted without final approval
declaration 38530,Declaration submitted without final approval
declaration 39000,Declaration submitted without final approval
declaration 39655,Declaration submitted without final approval
declaration 40568,Declaration submitted without final approval
declaration 40571,Declaration submitted without final approval
declaration 40572,Declaration submitted without final approval
declaration 40573,Declaration submitted without final approval
declaration 40965,Declaration submitted without final approval
declaration 40966,Declaration submitted without final approval
declaration 4129,Declaration submitted without final approval
declaration 4132,Declaration submitted without final approval
declaration 4133,Declaration submitted without final approval
declaration 4134,Declaration submitted without final approval
declaration 41555,Declaration submitted without final approval
declaration 41826,Declaration submitted without final approval
declaration 42382,Declaration submitted without final approval
declaration 42690,Declaration submitted without final approval
declaration 43247,Declaration submitted without final approval
declaration 43277,Declaration submitted without final approval
declaration 43423,Declaration submitted without final approval
declaration 43621,Declaration submitted without final approval
declaration 43976,Declaration submitted without final approval
declaration 44272,Declaration submitted without final approval
declaration 45151,Declaration submitted without final approval
declaration 45630,Declaration submitted without final approval
declaration 45743,Declaration submitted without final approval
declaration 45821,Declaration submitted without final approval
declaration 46254,Declaration submitted without final approval
declaration 46255,Declaration submitted without final approval
declaration 47743,Declaration submitted without final approval
declaration 48953,Declaration submitted without final approval
declaration 49097,Declaration submitted without final approval
declaration 51021,Declaration submitted without final approval
declaration 51156,Declaration submitted without final approval
declaration 51159,Declaration submitted without final approval
declaration 52137,Declaration submitted without final approval
declaration 52293,Declaration submitted without final approval
declaration 53703,Declaration submitted without final approval
declaration 54392,Declaration submitted without final approval
declaration 54601,Declaration submitted without final approval
declaration 55133,Declaration submitted without final approval
declaration 55817,Declaration submitted without final approval
declaration 56150,Declaration submitted without final approval
declaration 57103,Declaration submitted without final approval
declaration 57549,Declaration submitted without final approval
declaration 58190,Declaration submitted without final approval
declaration 58255,Declaration submitted without final approval
declaration 58300,Declaration submitted without final approval
declaration 58859,Declaration submitted without final approval
declaration 58964,Declaration submitted without final approval
declaration 58965,Declaration submitted without final approval
declaration 59652,Declaration submitted without final approval
declaration 59944,Declaration submitted without final approval
declaration 60414,Declaration submitted without final approval
declaration 60474,Declaration submitted without final approval
declaration 61028,Declaration submitted without final approval
declaration 6112,Declaration submitted without final approval
declaration 61746,Declaration submitted without final approval
declaration 61816,Declaration submitted without final approval
declaration 61817,Declaration submitted without final approval
declaration 62066,Declaration submitted without final approval
declaration 64507,Declaration submitted without final approval
declaration 65043,Declaration submitted without final approval
declaration 65276,Declaration submitted without final approval
declaration 65277,Declaration submitted without final approval
declaration 65698,Declaration submitted without final approval
declaration 65949,Declaration submitted without final approval
declaration 66019,Declaration submitted without final approval
declaration 66022,Declaration submitted without final approval
declaration 66934,Declaration submitted without final approval
declaration 66970,Declaration submitted without final approval
declaration 67002,Declaration submitted without final approval
declaration 67118,Declaration submitted without final approval
declaration 67433,Declaration submitted without final approval
declaration 67992,Declaration submitted without final approval
declaration 68296,Declaration submitted without final approval
declaration 6884,Declaration submitted without final approval
declaration 6938,Declaration submitted without final approval
declaration 69923,Declaration submitted without final approval
declaration 70833,Declaration submitted without final approval
declaration 70940,Declaration submitted without final approval
declaration 71844,Declaration submitted without final approval
declaration 72013,Declaration submitted without final approval
declaration 76088,Declaration submitted without final approval
declaration 76089,Declaration submitted without final approval
declaration 7687,Declaration submitted without final approval
declaration 78472,Declaration submitted without final approval
declaration 78711,Declaration submitted without final approval
declaration 79488,Declaration submitted without final approval
declaration 8008,Declaration submitted without final approval
declaration 80456,Declaration submitted without final approval
declaration 81492,Declaration submitted without final approval
declaration 81749,Declaration submitted without final approval
declaration 83075,Declaration submitted without final approval
declaration 83797,Declaration submitted without final approval
declaration 83800,Declaration submitted without final approval
declaration 84168,Declaration submitted without final approval
declaration 84457,Declaration submitted without final approval
declaration 84753,Declaration submitted without final approval
declaration 86024,Declaration submitted without final approval
declaration 9208,Declaration submitted without final approval
