case_id,outcome
declaration 12852,approved
declaration 1287,approved
declaration 12875,approved
declaration 12887,approved
declaration 12902,approved
declaration 12913,approved
declaration 12927,approved
declaration 12945,approved
declaration 12962,approved
declaration 12976,approved
declaration 12988,approved
declaration 1300,approved
declaration 13005,approved
declaration 13024,approved
declaration 13036,approved
declaration 13117,approved
declaration 13132,approved
declaration 13147,approved
declaration 13149,approved
declaration 1315,approved
declaration 13165,approved
declaration 13180,approved
declaration 13216,rejected
declaration 13232,rejected
declaration 13251,approved
declaration 13278,approved
declaration 1328,approved
declaration 13288,approved
declaration 13298,approved
declaration 1330,rejected
declaration 13310,approved
declaration 13321,approved
declaration 13333,approved
declaration 13346,approved
declaration 13356,approved
declaration 13370,approved
declaration 13383,approved
declaration 13403,rejected
declaration 13404,approved
declaration 13423,approved
declaration 13458,approved
declaration 1347,rejected
declaration 1348,approved
declaration 13483,approved
declaration 13494,approved
declaration 13506,approved
declaration 13519,approved
declaration 13530,approved
declaration 13544,approved
declaration 13560,approved
declaration 13573,approved
declaration 13589,approved
declaration 13618,approved
declaration 13636,approved
declaration 13646,approved
declaration 13657,approved
declaration 13688,approved
declaration 13705,approved
declaration 13719,approved
declaration 1372,approved
declaration 13740,approved
declaration 13751,approved
declaration 13762,approved
declaration 13779,approved
declaration 13798,approved
declaration 13800,approved
declaration 13802,approved
declaration 13804,approved
declaration 13806,approved
declaration 13835,approved
declaration 13852,approved
declaration 13869,approved
declaration 13884,approved
declaration 1389,approved
declaration 13899,approved
declaration 13920,approved
declaration 13938,approved
declaration 13958,approved
declaration 14027,approved
declaration 14037,approved
declaration 1404,approved
declaration 14048,approved
declaration 14083,approved
declaration 14101,approved
declaration 14112,approved
declaration 14153,approved
declaration 14168,approved
declaration 14182,approved
declaration 14195,approved
declaration 14197,rejected
declaration 14198,approved
declaration 14200,approved
declaration 1421,approved
declaration 14227,approved
declaration 14239,approved
declaration 14252,approved
declaration 14278,approved
declaration 14292,approved
declaration 14304,approved
declaration 14326,approved
declaration 14328,approved
declaration 1434,approved
declaration 143467,approved
declaration 14347,approved
declaration 143474,approved
declaration 143481,approved
declaration 143488,approved
declaration 143496,approved
declaration 143502,approved
declaration 143513,approved
declaration 143519,approved
declaration 143526,approved
declaration 143532,approved
declaration 143539,approved
declaration 143546,approved
declaration 143558,approved
declaration 143570,approved
declaration 143578,approved
declaration 14358,approved
declaration 143585,approved
declaration 143598,approved
declaration 143605,approved
declaration 143612,open
declaration 143617,approved
declaration 143624,approved
declaration 143630,approved
declaration 143637,approved
declaration 143644,approved
declaration 143657,approved
declaration 143664,approved
declaration 143670,approved
declaration 143697,approved
declaration 143708,approved
declaration 14371,open
declaration 143721,approved
declaration 143729,approved
declaration 143738,approved
declaration 143750,approved
declaration 143763,approved
declaration 143784,approved
declaration 14379,approved
declaration 143790,open
declaration 143795,approved
declaration 143803,approved
declaration 143816,approved
declaration 143840,approved
declaration 143861,approved
declaration 143870,approved
declaration 143878,approved
declaration 143885,approved
declaration 14389,approved
declaration 143898,approved
declaration 143906,approved
declaration 143917,approved
declaration 143924,approved
declaration 143934,approved
declaration 143943,approved
declaration 143953,approved
declaration 143961,approved
declaration 143973,approved
declaration 143995,approved
declaration 14401,approved
declaration 144012,approved
declaration 144023,approved
declaration 144035,approved
declaration 144046,approved
declaration 144050,approved
declaration 144057,approved
declaration 144065,approved
declaration 144079,approved
declaration 144086,approved
declaration 144095,approved
declaration 144101,approved
declaration 144107,approved
declaration 144113,approved
declaration 144129,approved
declaration 144138,approved
declaration 144147,approved
declaration 144158,approved
declaration 144166,approved
declaration 144174,approved
declaration 144200,approved
declaration 144209,approved
declaration 14421,approved
declaration 144216,approved
declaration 144222,approved
declaration 144229,approved
declaration 144237,approved
declaration 144244,approved
declaration 144252,approved
declaration 144263,approved
declaration 144269,approved
declaration 144280,approved
declaration 144288,approved
declaration 144294,approved
declaration 144304,approved
declaration 144311,approved
declaration 144318,approved
declaration 144326,approved
declaration 144335,approved
declaration 144342,approved
declaration 144350,approved
declaration 144356,approved
declaration 144364,approved
declaration 144371,approved
declaration 144386,approved
declaration 144392,approved
declaration 144398,rejected
declaration 144406,approved
declaration 144415,approved
declaration 144423,approved
declaration 144431,approved
declaration 144437,approved
declaration 144447,approved
declaration 144454,approved
declaration 144461,approved
declaration 144468,approved
declaration 144476,open
declaration 144485,approved
declaration 14449,approved
declaration 144492,approved
declaration 144501,approved
declaration 144507,approved
declaration 144516,approved
declaration 144523,approved
declaration 144542,approved
declaration 144550,approved
declaration 144554,approved
declaration 144561,approved
declaration 144569,approved
declaration 144575,approved
declaration 144581,approved
declaration 144589,approved
declaration 1446,approved
declaration 144602,approved
declaration 144609,approved
declaration 14461,approved
declaration 144617,approved
declaration 144624,approved
declaration 144633,approved
declaration 144643,approved
declaration 144654,approved
declaration 144661,approved
declaration 144672,approved
declaration 144679,approved
declaration 144687,approved
declaration 144693,approved
declaration 144700,approved
declaration 144707,approved
declaration 144713,approved
declaration 144720,approved
declaration 144727,approved
declaration 14473,approved
declaration 144734,approved
declaration 144741,approved
declaration 144748,approved
declaration 144752,approved
declaration 144758,approved
declaration 144765,approved
declaration 144771,approved
declaration 144777,approved
declaration 144783,approved
declaration 144790,approved
declaration 144797,approved
declaration 144803,approved
declaration 144810,approved
declaration 144816,approved
declaration 144824,approved
declaration 14483,approved
declaration 144832,approved
declaration 144838,approved
declaration 144845,approved
declaration 144852,approved
declaration 144858,open
declaration 144860,approved
declaration 144873,approved
declaration 144879,open
declaration 144884,approved
declaration 144890,approved
declaration 144899,approved
declaration 144905,approved
declaration 144912,approved
declaration 144919,approved
declaration 144926,approved
declaration 144933,approved
declaration 144939,approved
declaration 144946,approved
declaration 144955,approved
declaration 144964,approved
declaration 144968,approved
declaration 144974,approved
declaration 144979,approved
declaration 144986,approved
declaration 144992,approved
declaration 144996,approved
declaration 145007,approved
declaration 145020,rejected
declaration 145027,approved
declaration 145035,approved
declaration 145045,approved
declaration 145053,approved
declaration 145062,approved
declaration 145069,approved
declaration 145079,approved
declaration 145087,approved
declaration 145095,approved
declaration 145102,approved
declaration 145110,approved
declaration 145117,approved
declaration 145125,approved
declaration 145138,approved
declaration 145147,approved
declaration 145155,approved
declaration 145165,approved
declaration 145177,approved
declaration 145185,approved
declaration 145192,approved
declaration 145201,approved
declaration 145209,approved
declaration 145217,approved
declaration 145225,approved
declaration 14523,approved
declaration 145235,approved
declaration 145243,approved
declaration 145254,approved
declaration 145262,approved
declaration 145271,approved
declaration 145282,approved
declaration 145296,approved
declaration 145307,approved
declaration 145315,approved
declaration 145324,approved
declaration 145332,approved
declaration 145340,approved
declaration 145348,approved
declaration 145355,approved
declaration 145367,approved
declaration 145375,approved
declaration 145382,approved
declaration 14539,approved
declaration 145390,approved
declaration 145398,approved
declaration 145408,approved
declaration 145416,approved
declaration 145427,approved
declaration 145437,approved
declaration 145454,open
declaration 145458,approved
declaration 145466,approved
declaration 145476,approved
declaration 145485,approved
declaration 145493,approved
declaration 145501,approved
declaration 145509,approved
declaration 145517,approved
declaration 145524,approved
declaration 145529,approved
declaration 145537,approved
declaration 145544,approved
declaration 145551,approved
declaration 145558,approved
declaration 145566,approved
declaration 14557,approved
declaration 145574,approved
declaration 145582,approved
declaration 145589,rejected
declaration 145595,rejected
declaration 145601,approved
declaration 145610,approved
declaration 145618,approved
declaration 145626,approved
declaration 145633,approved
declaration 145640,approved
declaration 145649,approved
declaration 145657,approved
declaration 145667,approved
declaration 145674,approved
declaration 145682,rejected
declaration 145690,approved
declaration 145696,approved
declaration 145703,approved
declaration 145715,approved
declaration 14572,approved
declaration 145725,approved
declaration 145734,approved
declaration 145741,approved
declaration 145748,approved
declaration 145762,approved
declaration 145769,approved
declaration 145777,approved
declaration 145790,approved
declaration 145798,approved
declaration 145806,approved
declaration 145813,approved
declaration 14582,approved
declaration 145822,open
declaration 145828,approved
declaration 145845,approved
declaration 145852,approved
declaration 145859,approved
declaration 145864,approved
declaration 145872,approved
declaration 145880,approved
declaration 145888,approved
declaration 145895,approved
declaration 145903,approved
declaration 145913,approved
declaration 145924,approved
declaration 145931,approved
declaration 145942,approved
declaration 145950,approved
declaration 145961,approved
declaration 145970,approved
declaration 145978,approved
declaration 14598,approved
declaration 145986,approved
declaration 145994,approved
declaration 146002,approved
declaration 146011,approved
declaration 146018,approved
declaration 146025,approved
declaration 146032,approved
declaration 146040,approved
declaration 146048,approved
declaration 146056,rejected
declaration 146060,approved
declaration 146068,approved
declaration 14608,approved
declaration 146080,approved
declaration 146090,approved
declaration 14610,approved
declaration 146100,approved
declaration 146110,approved
declaration 146117,approved
declaration 146125,approved
declaration 146132,approved
declaration 146139,rejected
declaration 146145,approved
declaration 146156,approved
declaration 146164,approved
declaration 146172,approved
declaration 146179,open
declaration 146183,approved
declaration 146191,approved
declaration 146199,approved
declaration 146207,approved
declaration 146214,approved
declaration 146220,approved
declaration 146226,approved
declaration 146234,approved
declaration 146241,approved
declaration 146248,approved
declaration 146255,approved
declaration 146263,approved
declaration 146271,approved
declaration 146279,approved
declaration 146287,approved
declaration 146295,approved
declaration 146303,approved
declaration 146311,approved
declaration 14632,approved
declaration 146320,approved
declaration 146328,approved
declaration 146335,approved
declaration 146343,approved
declaration 146353,approved
declaration 146358,approved
declaration 146365,approved
declaration 146372,approved
declaration 146382,approved
declaration 146390,approved
declaration 146396,approved
declaration 146407,approved
declaration 146418,approved
declaration 14642,approved
declaration 146426,approved
declaration 146436,approved
declaration 146444,approved
declaration 146451,approved
declaration 146459,approved
declaration 146466,approved
declaration 146473,approved
declaration 146480,approved
declaration 146488,approved
declaration 146498,rejected
declaration 146502,approved
declaration 146510,approved
declaration 146517,approved
declaration 146527,approved
declaration 146535,approved
declaration 14654,approved
declaration 146546,approved
declaration 146553,approved
declaration 146561,approved
declaration 146572,approved
declaration 146580,approved
declaration 146588,approved
declaration 146596,approved
declaration 146604,approved
declaration 146613,approved
declaration 146621,approved
declaration 146628,approved
declaration 146639,approved
declaration 14664,approved
declaration 146647,approved
declaration 146655,approved
declaration 146733,approved
declaration 14674,approved
declaration 146743,approved
declaration 146766,approved
declaration 146785,approved
declaration 146829,approved
declaration 14684,approved
declaration 146861,approved
declaration 146876,approved
declaration 146884,approved
declaration 146894,approved
declaration 146906,approved
declaration 146916,approved
declaration 146923,approved
declaration 146930,approved
declaration 146938,approved
declaration 146946,approved
declaration 146954,approved
declaration 146966,approved
declaration 146974,approved
declaration 146982,approved
declaration 146992,approved
declaration 14700,approved
declaration 147001,approved
declaration 147011,approved
declaration 147020,approved
declaration 147028,approved
declaration 147039,approved
declaration 147053,approved
declaration 147066,approved
declaration 147073,approved
declaration 147083,approved
declaration 147094,approved
declaration 147102,rejected
declaration 147106,rejected
declaration 147112,open
declaration 147116,approved
declaration 14712,approved
declaration 147127,approved
declaration 147138,rejected
declaration 147144,approved
declaration 147152,approved
declaration 147159,approved
declaration 147167,approved
declaration 147175,approved
declaration 147183,rejected
declaration 147187,approved
declaration 147198,approved
declaration 147209,approved
declaration 147217,approved
declaration 147226,approved
declaration 147234,approved
declaration 147242,approved
declaration 147250,approved
declaration 14726,approved
declaration 147263,approved
declaration 147274,approved
declaration 147287,approved
declaration 147294,approved
declaration 147299,approved
declaration 147305,approved
declaration 147313,approved
declaration 147325,approved
declaration 147335,approved
declaration 147340,approved
declaration 147358,approved
declaration 14736,approved
declaration 147403,approved
declaration 147425,approved
declaration 147452,approved
declaration 14746,approved
declaration 147470,approved
declaration 147487,approved
declaration 147507,open
declaration 147514,approved
declaration 14764,approved
declaration 14779,approved
declaration 14793,approved
declaration 14805,approved
declaration 14824,approved
declaration 1483,approved
declaration 14838,approved
declaration 14856,approved
declaration 14866,approved
declaration 14878,open
declaration 14879,open
declaration 14880,rejected
declaration 14881,approved
declaration 14905,approved
declaration 14919,approved
declaration 14933,approved
declaration 14949,approved
declaration 14959,approved
declaration 14975,approved
declaration 14991,approved
declaration 15005,approved
declaration 1501,approved
declaration 15021,approved
declaration 15037,approved
declaration 15050,approved
declaration 15068,approved
declaration 15080,approved
declaration 15095,approved
declaration 15105,approved
declaration 15118,approved
declaration 15131,approved
declaration 15151,approved
declaration 15168,approved
declaration 15189,rejected
declaration 15190,approved
declaration 15219,approved
declaration 15232,approved
declaration 15250,approved
declaration 15266,approved
declaration 1528,approved
declaration 15287,approved
declaration 15309,approved
declaration 15321,approved
declaration 15355,approved
declaration 15436,approved
declaration 1544,approved
declaration 15466,approved
declaration 15481,approved
declaration 15492,approved
declaration 15510,approved
declaration 15531,approved
declaration 15548,approved
declaration 1555,approved
declaration 15569,approved
declaration 15581,approved
declaration 15592,rejected
declaration 15593,approved
declaration 15614,approved
declaration 15616,approved
declaration 15636,approved
declaration 15647,approved
declaration 15657,approved
declaration 15677,approved
declaration 15699,approved
declaration 15725,approved
declaration 15735,approved
declaration 1574,approved
declaration 15753,approved
declaration 15776,approved
declaration 15786,approved
declaration 15796,approved
declaration 15812,open
declaration 15820,approved
declaration 15830,approved
declaration 15843,approved
declaration 15856,approved
declaration 15880,approved
declaration 15914,approved
declaration 15924,approved
declaration 15938,approved
declaration 15953,approved
declaration 15963,approved
declaration 1597,approved
declaration 15973,approved
declaration 15986,rejected
declaration 16041,approved
declaration 16043,open
declaration 16070,approved
declaration 16083,approved
declaration 16098,approved
declaration 16114,approved
declaration 16130,approved
declaration 16146,approved
declaration 16159,approved
declaration 16171,approved
declaration 16192,approved
declaration 16202,approved
declaration 16218,approved
declaration 16230,approved
declaration 1624,approved
declaration 16248,approved
declaration 16262,approved
declaration 16278,rejected
declaration 16291,approved
declaration 16307,approved
declaration 16309,approved
declaration 16322,approved
declaration 16332,approved
declaration 1634,approved
declaration 16344,approved
declaration 16388,approved
declaration 16398,approved
declaration 16408,approved
declaration 16422,approved
declaration 16432,approved
declaration 16443,approved
declaration 1646,approved
declaration 16462,approved
declaration 16485,approved
declaration 16517,rejected
declaration 16518,rejected
declaration 16519,approved
declaration 16537,approved
declaration 1656,approved
declaration 16562,approved
declaration 16574,approved
declaration 16587,approved
declaration 16600,approved
declaration 16616,approved
declaration 16638,approved
declaration 16650,approved
declaration 16677,approved
declaration 16696,approved
declaration 16707,approved
declaration 1671,approved
declaration 16723,approved
declaration 16736,approved
declaration 16751,approved
declaration 16767,approved
declaration 16786,approved
declaration 16799,approved
declaration 16815,approved
declaration 16825,approved
declaration 16845,approved
declaration 16865,approved
declaration 16883,approved
declaration 16915,approved
declaration 16929,approved
declaration 1694,approved
declaration 16942,approved
declaration 16952,approved
declaration 16962,approved
declaration 16974,approved
declaration 16985,approved
declaration 17000,approved
declaration 17010,approved
declaration 17020,approved
declaration 17042,approved
declaration 17052,approved
declaration 17064,approved
declaration 17078,approved
declaration 17094,approved
declaration 17104,approved
declaration 17123,approved
declaration 17143,approved
declaration 17156,approved
declaration 17166,approved
declaration 17176,approved
declaration 17189,approved
declaration 17200,approved
declaration 17212,approved
declaration 17224,approved
declaration 17234,approved
declaration 17250,approved
declaration 17269,approved
declaration 17286,approved
declaration 1729,approved
declaration 17299,approved
declaration 1731,approved
declaration 17311,approved
declaration 17327,approved
declaration 17343,approved
declaration 17355,approved
declaration 17367,approved
declaration 17378,approved
declaration 17392,approved
declaration 17402,approved
declaration 17414,approved
declaration 17424,approved
declaration 17439,approved
declaration 1745,approved
declaration 17456,approved
declaration 17466,approved
declaration 17480,approved
declaration 17493,approved
declaration 17506,approved
declaration 17519,approved
declaration 17534,approved
declaration 17551,approved
declaration 1760,approved
declaration 17664,approved
declaration 17677,approved
declaration 17689,approved
declaration 17706,approved
declaration 17726,approved
declaration 17736,approved
declaration 17759,approved
declaration 17771,approved
declaration 17786,approved
declaration 17798,approved
declaration 17809,approved
declaration 17819,approved
declaration 1782,approved
declaration 17829,approved
declaration 17841,approved
declaration 17857,approved
declaration 17876,approved
declaration 17891,approved
declaration 17912,approved
declaration 17922,approved
declaration 17937,approved
declaration 17956,approved
declaration 1796,approved
declaration 17968,approved
declaration 17986,approved
declaration 17996,approved
declaration 18006,approved
declaration 18019,approved
declaration 18042,approved
declaration 18062,approved
declaration 18078,approved
declaration 18101,approved
declaration 18111,approved
declaration 18127,approved
declaration 18137,approved
declaration 18149,approved
declaration 18165,approved
declaration 1817,approved
declaration 18228,approved
declaration 18239,approved
declaration 18250,approved
declaration 18260,approved
declaration 18285,approved
declaration 18298,approved
declaration 18313,approved
declaration 18344,approved
declaration 18354,approved
declaration 18369,approved
declaration 1838,approved
declaration 18387,approved
declaration 18415,approved
declaration 18428,approved
declaration 18447,approved
declaration 18468,approved
declaration 18483,approved
declaration 18500,approved
declaration 1851,approved
declaration 18528,approved
declaration 18538,approved
declaration 18540,approved
declaration 18559,approved
declaration 18571,approved
declaration 18581,approved
declaration 18595,approved
declaration 18618,approved
declaration 18641,approved
declaration 18651,approved
declaration 18663,approved
declaration 18677,approved
declaration 1868,approved
declaration 18688,approved
declaration 18690,approved
declaration 18692,approved
declaration 18714,approved
declaration 1886,approved
declaration 18871,approved
declaration 18887,approved
declaration 18922,approved
declaration 18935,approved
declaration 18950,approved
declaration 18961,approved
declaration 18997,approved
declaration 1900,approved
declaration 19011,approved
declaration 19025,approved
declaration 19036,approved
declaration 19051,approved
declaration 19063,approved
declaration 19076,approved
declaration 19086,approved
declaration 19108,approved
declaration 1912,approved
declaration 19131,approved
declaration 19141,approved
declaration 19153,approved
declaration 19167,approved
declaration 19183,approved
declaration 19206,approved
declaration 19216,approved
declaration 19226,approved
declaration 1924,approved
declaration 19240,approved
declaration 19258,approved
declaration 19274,approved
declaration 19290,approved
declaration 19322,approved
declaration 19350,approved
declaration 19360,approved
declaration 19370,approved
declaration 19380,approved
declaration 19382,approved
declaration 19395,approved
declaration 1940,approved
declaration 19405,approved
declaration 1942,approved
declaration 19424,approved
declaration 19449,approved
declaration 19462,approved
declaration 19481,approved
declaration 19494,approved
declaration 19506,approved
declaration 19519,approved
declaration 19531,approved
declaration 19552,approved
declaration 19565,approved
declaration 19578,approved
declaration 1958,approved
declaration 19594,approved
declaration 19607,approved
declaration 19620,approved
declaration 19630,approved
declaration 19646,approved
declaration 19661,approved
declaration 19677,rejected
declaration 19690,approved
declaration 19704,approved
declaration 1971,approved
declaration 19718,approved
declaration 19745,approved
declaration 19768,approved
declaration 19780,approved
declaration 19790,approved
declaration 19804,approved
declaration 19816,approved
declaration 19830,approved
declaration 1984,approved
declaration 19847,approved
declaration 19859,approved
declaration 19874,approved
declaration 19886,approved
declaration 19899,approved
declaration 19909,approved
declaration 19921,approved
declaration 19940,approved
declaration 1995,approved
declaration 19952,approved
declaration 19962,approved
declaration 19979,approved
declaration 19993,approved
declaration 20004,approved
declaration 20016,approved
declaration 20033,approved
declaration 20053,approved
declaration 2007,approved
declaration 20082,approved
declaration 20099,approved
declaration 20120,approved
declaration 20136,approved
declaration 20149,approved
declaration 20165,approved
declaration 20195,approved
declaration 2020,approved
declaration 20213,approved
declaration 20224,approved
declaration 20226,rejected
declaration 20227,rejected
declaration 20244,rejected
declaration 20245,approved
declaration 20269,approved
declaration 20288,approved
declaration 20301,approved
declaration 20321,approved
declaration 20341,rejected
declaration 2035,rejected
declaration 2036,approved
declaration 20371,approved
declaration 20382,approved
declaration 20393,approved
declaration 20408,approved
declaration 20419,approved
declaration 20429,approved
declaration 20441,approved
declaration 20453,approved
declaration 20467,approved
declaration 20489,approved
declaration 20507,approved
declaration 20533,approved
declaration 20535,approved
declaration 20564,approved
declaration 2057,approved
declaration 20586,approved
declaration 20602,approved
declaration 20614,approved
declaration 20626,approved
declaration 20646,approved
declaration 20658,approved
declaration 20668,approved
declaration 20678,approved
declaration 20688,approved
declaration 20702,approved
declaration 20717,approved
declaration 20727,approved
declaration 20737,approved
declaration 2074,approved
declaration 20748,approved
declaration 20776,approved
declaration 20797,approved
declaration 20819,approved
declaration 20837,approved
declaration 2084,approved
declaration 20850,approved
declaration 20860,approved
declaration 20876,approved
declaration 20888,approved
declaration 20903,approved
declaration 20913,approved
declaration 20924,approved
declaration 20936,approved
declaration 20947,approved
declaration 20963,rejected
declaration 20978,approved
declaration 2098,approved
declaration 20988,approved
declaration 21000,approved
declaration 21017,approved
declaration 21030,approved
declaration 21040,approved
declaration 21053,approved
declaration 21063,approved
declaration 21077,approved
declaration 21095,approved
declaration 21106,approved
declaration 21117,approved
declaration 21132,approved
declaration 21144,approved
declaration 2115,approved
declaration 21161,approved
declaration 21190,approved
declaration 21218,approved
declaration 21228,approved
declaration 21238,approved
declaration 21253,approved
declaration 2127,approved
declaration 21271,approved
declaration 21286,approved
declaration 21306,approved
declaration 21316,approved
declaration 21331,approved
declaration 21346,approved
declaration 21348,approved
declaration 21367,approved
declaration 21379,approved
declaration 2139,approved
declaration 21391,approved
declaration 21401,approved
declaration 21419,approved
declaration 21433,approved
declaration 21462,approved
declaration 21475,approved
declaration 21490,approved
declaration 21507,approved
declaration 21523,approved
declaration 21535,open
declaration 21536,approved
declaration 2155,open
declaration 21557,approved
declaration 2156,approved
declaration 21569,approved
declaration 21592,approved
declaration 21613,approved
declaration 21626,approved
declaration 21638,approved
declaration 21655,approved
declaration 21671,approved
declaration 21689,approved
declaration 21691,approved
declaration 2170,approved
declaration 21709,approved
declaration 21722,approved
declaration 21732,approved
declaration 21742,approved
declaration 21756,approved
declaration 21772,approved
declaration 21795,approved
declaration 21807,approved
declaration 21817,approved
declaration 21829,approved
declaration 21845,approved
declaration 2186,approved
declaration 21863,approved
declaration 21882,approved
declaration 21898,approved
declaration 21912,approved
declaration 21932,approved
declaration 21945,approved
declaration 21959,approved
declaration 21983,approved
declaration 2199,approved
declaration 22002,approved
declaration 22021,approved
declaration 22032,approved
declaration 22044,approved
declaration 22057,approved
declaration 22069,approved
declaration 22086,approved
declaration 22101,approved
declaration 2211,approved
declaration 22118,approved
declaration 22128,open
declaration 22137,approved
declaration 22151,approved
declaration 22182,approved
declaration 22195,approved
declaration 22207,approved
declaration 22223,approved
declaration 2223,approved
declaration 22235,approved
declaration 22253,approved
declaration 22267,approved
declaration 22282,approved
declaration 22296,approved
declaration 22318,rejected
declaration 22338,approved
declaration 2234,approved
declaration 22361,approved
declaration 22374,approved
declaration 22390,approved
declaration 22402,approved
declaration 22420,approved
declaration 22439,approved
declaration 22453,approved
declaration 22470,approved
declaration 22485,approved
declaration 22496,approved
declaration 22511,approved
declaration 22521,approved
declaration 22538,approved
declaration 22552,approved
declaration 22572,approved
declaration 22586,approved
declaration 22600,approved
declaration 2261,approved
declaration 22616,approved
declaration 22626,approved
declaration 22652,approved
declaration 22668,approved
declaration 22690,approved
declaration 22702,approved
declaration 2271,approved
declaration 22721,approved
declaration 22733,approved
declaration 22744,approved
declaration 22761,approved
declaration 22861,approved
declaration 2287,approved
declaration 22875,approved
declaration 22890,approved
declaration 22919,approved
declaration 22947,approved
declaration 22959,approved
declaration 22971,approved
declaration 22991,approved
declaration 23007,approved
declaration 23024,approved
declaration 23038,approved
declaration 23052,approved
declaration 23067,approved
declaration 23082,approved
declaration 23094,approved
declaration 23106,approved
declaration 23118,approved
declaration 2313,approved
declaration 23131,approved
declaration 23149,approved
declaration 23194,approved
declaration 23209,approved
declaration 23224,approved
declaration 23241,approved
declaration 23264,approved
declaration 23279,approved
declaration 23290,approved
declaration 23300,approved
declaration 23310,approved
declaration 23322,approved
declaration 23332,approved
declaration 23344,approved
declaration 23346,rejected
declaration 2335,approved
declaration 23363,approved
declaration 23373,approved
declaration 23386,approved
declaration 23388,approved
declaration 23401,approved
declaration 23413,approved
declaration 23434,approved
declaration 23454,approved
declaration 23456,rejected
declaration 23482,approved
declaration 23495,approved
declaration 23505,approved
declaration 23519,approved
declaration 2352,approved
declaration 23540,approved
declaration 23554,approved
declaration 23568,approved
declaration 23578,approved
declaration 23599,approved
declaration 23632,approved
declaration 23643,approved
declaration 23655,approved
declaration 23668,approved
declaration 2367,approved
declaration 23678,approved
declaration 23688,approved
declaration 23700,approved
