case_id,outcome
declaration 100874,approved
declaration 100880,unknown
declaration 100882,approved
declaration 100887,approved
declaration 100892,approved
declaration 100897,approved
declaration 100902,approved
declaration 100908,approved
declaration 100913,approved
declaration 100919,approved
declaration 100928,approved
declaration 100936,approved
declaration 100941,approved
declaration 100949,approved
declaration 100954,approved
declaration 100960,approved
declaration 100965,approved
declaration 100971,approved
declaration 100988,approved
declaration 100994,approved
declaration 100999,approved
declaration 101004,approved
declaration 101009,approved
declaration 101014,approved
declaration 101019,approved
declaration 101024,approved
declaration 101029,approved
declaration 101035,approved
declaration 101041,approved
declaration 101047,approved
declaration 101053,approved
declaration 101059,approved
declaration 101064,approved
declaration 101070,approved
declaration 101079,approved
declaration 101084,approved
declaration 101094,approved
declaration 101099,approved
declaration 101105,approved
declaration 101110,approved
declaration 101115,approved
declaration 101120,approved
declaration 101126,approved
declaration 101132,approved
declaration 101140,approved
declaration 101149,approved
declaration 101155,approved
declaration 101164,approved
declaration 101169,approved
declaration 101174,approved
declaration 101182,approved
declaration 101188,approved
declaration 101194,approved
declaration 101200,approved
declaration 101205,approved
declaration 101210,approved
declaration 101215,approved
declaration 101220,approved
declaration 101226,approved
declaration 101232,approved
declaration 101238,approved
declaration 101243,approved
declaration 101248,approved
declaration 101254,approved
declaration 101259,approved
declaration 101265,approved
declaration 101270,approved
declaration 101275,approved
declaration 101280,approved
declaration 101285,approved
declaration 101291,approved
declaration 101297,approved
declaration 101303,rejected
declaration 101307,approved
declaration 101312,approved
declaration 101317,approved
declaration 101323,approved
declaration 101328,approved
declaration 101334,approved
declaration 101340,approved
declaration 101345,approved
declaration 101351,approved
declaration 101356,approved
declaration 101362,approved
declaration 101368,approved
declaration 101374,approved
declaration 101379,approved
declaration 101384,approved
declaration 101389,approved
declaration 101394,approved
declaration 101399,approved
declaration 101404,approved
declaration 101410,approved
declaration 101415,approved
declaration 101421,approved
declaration 101426,unknown
declaration 101428,approved
declaration 101436,approved
declaration 101442,approved
declaration 101448,approved
declaration 101453,approved
declaration 101459,approved
declaration 101465,approved
declaration 101471,approved
declaration 101477,rejected
declaration 101481,rejected
declaration 101485,approved
declaration 101490,approved
declaration 101495,approved
declaration 101501,approved
declaration 101506,approved
declaration 101512,approved
declaration 101517,approved
declaration 101522,approved
declaration 101528,approved
declaration 101533,approved
declaration 101538,approved
declaration 101543,approved
declaration 101548,approved
declaration 101553,approved
declaration 101558,approved
declaration 101566,approved
declaration 101572,approved
declaration 101577,approved
declaration 101583,approved
declaration 101589,approved
declaration 101595,approved
declaration 101600,approved
declaration 101605,approved
declaration 101610,unknown
declaration 101612,approved
declaration 101618,approved
declaration 101624,approved
declaration 101630,approved
declaration 101635,approved
declaration 101640,approved
declaration 101646,approved
declaration 101651,approved
declaration 101656,approved
declaration 101661,approved
declaration 101671,approved
declaration 101676,approved
declaration 101682,approved
declaration 101688,approved
declaration 101693,approved
declaration 101698,approved
declaration 101703,approved
declaration 101708,approved
declaration 101713,approved
declaration 101718,approved
declaration 101726,approved
declaration 101731,approved
declaration 101736,approved
declaration 101742,approved
declaration 101747,approved
declaration 101753,approved
declaration 101758,approved
declaration 101763,approved
declaration 101769,approved
declaration 101775,approved
declaration 101781,approved
declaration 101787,rejected
declaration 101791,approved
declaration 101797,approved
declaration 101803,approved
declaration 101808,approved
declaration 101817,approved
declaration 101822,approved
declaration 101827,approved
declaration 101832,approved
declaration 101837,approved
declaration 101842,approved
declaration 101847,approved
declaration 101852,approved
declaration 101857,approved
declaration 101862,approved
declaration 101867,approved
declaration 101872,approved
declaration 101877,approved
declaration 101883,approved
declaration 101888,approved
declaration 101893,approved
declaration 101898,approved
declaration 101907,approved
declaration 101912,approved
declaration 101917,approved
declaration 101922,rejected
declaration 101926,approved
declaration 101931,approved
declaration 101937,approved
declaration 101947,approved
declaration 101953,approved
declaration 101963,approved
declaration 101968,approved
declaration 101974,approved
declaration 101982,approved
declaration 101987,unknown
declaration 101989,approved
declaration 101997,approved
declaration 102002,approved
declaration 102008,approved
declaration 102014,approved
declaration 102019,approved
declaration 102027,approved
declaration 102036,approved
declaration 102042,approved
declaration 102047,unknown
declaration 102049,rejected
declaration 102053,approved
declaration 102058,approved
declaration 102063,approved
declaration 102069,approved
declaration 102075,approved
declaration 102080,approved
declaration 102086,approved
declaration 102092,approved
declaration 102097,approved
declaration 102103,approved
declaration 102108,approved
declaration 102113,approved
declaration 102118,rejected
declaration 102123,approved
declaration 102128,approved
declaration 102133,approved
declaration 102139,approved
declaration 102147,approved
declaration 102152,approved
declaration 102157,approved
declaration 102162,approved
declaration 102167,approved
declaration 102172,approved
declaration 102177,rejected
declaration 102181,approved
declaration 102186,approved
declaration 102191,approved
declaration 102196,approved
declaration 102202,approved
declaration 102208,approved
declaration 102217,approved
declaration 102222,approved
declaration 102230,approved
declaration 102235,approved
declaration 102240,approved
declaration 102245,approved
declaration 102250,approved
declaration 102256,approved
declaration 102261,unknown
declaration 102263,approved
declaration 102268,approved
declaration 102273,approved
declaration 102279,approved
declaration 102284,rejected
declaration 102288,rejected
declaration 102292,approved
declaration 102297,approved
declaration 102302,approved
declaration 102307,approved
declaration 102312,approved
declaration 102317,approved
declaration 102323,approved
declaration 102329,approved
declaration 102334,approved
declaration 102342,approved
declaration 102348,approved
declaration 102354,approved
declaration 102359,approved
declaration 102364,approved
declaration 102369,approved
declaration 102374,approved
declaration 102379,approved
declaration 102384,approved
declaration 102390,approved
declaration 102395,approved
declaration 102400,approved
declaration 102405,approved
declaration 102411,approved
declaration 102417,approved
declaration 102423,approved
declaration 102428,approved
declaration 102433,approved
declaration 102438,approved
declaration 102443,approved
declaration 102448,approved
declaration 102453,approved
declaration 102458,approved
declaration 102464,approved
declaration 102477,approved
declaration 102482,approved
declaration 102487,rejected
declaration 102491,approved
declaration 102497,approved
declaration 102502,approved
declaration 102508,approved
declaration 102516,approved
declaration 102521,approved
declaration 102526,approved
declaration 102535,approved
declaration 102540,approved
declaration 102546,rejected
declaration 102554,approved
declaration 102563,approved
declaration 102568,approved
declaration 102573,approved
declaration 102578,approved
declaration 102584,approved
declaration 102589,approved
declaration 102594,approved
declaration 102600,approved
declaration 102605,approved
declaration 102610,approved
declaration 102615,approved
declaration 102624,approved
declaration 102630,approved
declaration 102635,approved
declaration 102640,approved
declaration 102645,approved
declaration 102651,approved
declaration 102656,approved
declaration 102661,approved
declaration 102667,approved
declaration 102673,approved
declaration 102678,approved
declaration 102687,approved
declaration 102692,approved
declaration 102698,approved
declaration 102703,approved
declaration 102709,approved
declaration 102714,approved
declaration 102720,approved
declaration 102726,approved
declaration 102731,approved
declaration 102736,approved
declaration 102741,approved
declaration 102746,approved
declaration 102754,approved
declaration 102760,approved
declaration 102765,approved
declaration 102770,approved
declaration 102775,approved
declaration 102780,rejected
declaration 102785,approved
declaration 102791,approved
declaration 102796,approved
declaration 102802,approved
declaration 102811,approved
declaration 102816,approved
declaration 102821,approved
declaration 102826,approved
declaration 102831,approved
declaration 102836,approved
declaration 102841,approved
declaration 102849,approved
declaration 102855,approved
declaration 102860,approved
declaration 102865,approved
declaration 102870,approved
declaration 102876,approved
declaration 102881,approved
declaration 102887,approved
declaration 102892,approved
declaration 102897,approved
declaration 102903,approved
declaration 102908,approved
declaration 102913,approved
declaration 102919,approved
declaration 102924,approved
declaration 102930,approved
declaration 102936,approved
declaration 102941,approved
declaration 102947,approved
declaration 102953,approved
declaration 102958,approved
declaration 102964,approved
declaration 102969,approved
declaration 102974,approved
declaration 102979,approved
declaration 102985,approved
declaration 102990,approved
declaration 102995,approved
declaration 103001,approved
declaration 103006,approved
declaration 103011,approved
declaration 103017,approved
declaration 103023,approved
declaration 103028,approved
declaration 103034,approved
declaration 103039,approved
declaration 103045,approved
declaration 103050,approved
declaration 103056,approved
declaration 103065,approved
declaration 103071,approved
declaration 103076,approved
declaration 103082,approved
declaration 103088,approved
declaration 103093,approved
declaration 103098,approved
declaration 103103,approved
declaration 103108,approved
declaration 103113,approved
declaration 103119,approved
declaration 103124,approved
declaration 103130,approved
declaration 103136,approved
declaration 103141,approved
declaration 103147,approved
declaration 103153,approved
declaration 103159,approved
declaration 103167,approved
declaration 103172,approved
declaration 103184,approved
declaration 103193,approved
declaration 103199,approved
declaration 103205,approved
declaration 103210,approved
declaration 103215,approved
declaration 103220,approved
declaration 103225,approved
declaration 103231,approved
declaration 103236,approved
declaration 103241,approved
declaration 103246,approved
declaration 103251,approved
declaration 103257,approved
declaration 103262,approved
declaration 103270,approved
declaration 103275,approved
declaration 103280,approved
declaration 103285,approved
declaration 103291,approved
declaration 103296,approved
declaration 103301,approved
declaration 103307,approved
declaration 103312,approved
declaration 103317,approved
declaration 103325,approved
declaration 103330,approved
declaration 103335,approved
declaration 103341,approved
declaration 103346,approved
declaration 103352,approved
declaration 103357,approved
declaration 103362,approved
declaration 103368,approved
declaration 103373,approved
declaration 103378,approved
declaration 103383,approved
declaration 103388,approved
declaration 103393,approved
declaration 103399,approved
declaration 103405,approved
declaration 103410,approved
declaration 103415,approved
declaration 103421,approved
declaration 103429,approved
declaration 103441,approved
declaration 103446,approved
declaration 103451,approved
declaration 103457,approved
declaration 103462,approved
declaration 103475,approved
declaration 103480,approved
declaration 103486,approved
declaration 103492,approved
declaration 103498,approved
declaration 103503,approved
declaration 103509,approved
declaration 103514,approved
declaration 103522,rejected
declaration 103527,approved
declaration 103532,approved
declaration 103537,approved
declaration 103549,approved
declaration 103555,approved
declaration 103560,approved
declaration 103565,approved
declaration 103570,approved
declaration 103576,rejected
declaration 103580,approved
declaration 103586,approved
declaration 103591,approved
declaration 103597,approved
declaration 103602,approved
declaration 103608,approved
declaration 103613,rejected
declaration 103617,approved
declaration 103622,approved
declaration 103627,approved
declaration 103632,approved
declaration 103638,approved
declaration 103643,approved
declaration 103649,approved
declaration 103655,approved
declaration 103660,approved
declaration 103665,approved
declaration 103671,approved
declaration 103676,approved
declaration 103681,unknown
declaration 103683,approved
declaration 103688,approved
declaration 103693,approved
declaration 103698,approved
declaration 103703,approved
declaration 103708,approved
declaration 103713,approved
declaration 103719,approved
declaration 103724,approved
declaration 103729,approved
declaration 103734,approved
declaration 103739,approved
declaration 103744,approved
declaration 103749,approved
declaration 103754,approved
declaration 103759,approved
declaration 103768,approved
declaration 103774,approved
declaration 103780,approved
declaration 103786,approved
declaration 103791,rejected
declaration 103795,approved
declaration 103801,approved
declaration 103806,approved
declaration 103811,approved
declaration 103817,approved
declaration 103823,approved
declaration 103828,approved
declaration 103833,approved
declaration 103839,approved
declaration 103844,approved
declaration 103849,approved
declaration 103854,approved
declaration 103859,approved
declaration 103864,approved
declaration 103869,approved
declaration 103874,unknown
declaration 103876,approved
declaration 103881,approved
declaration 103892,approved
declaration 103897,approved
declaration 103903,approved
declaration 103908,approved
declaration 103913,approved
declaration 103918,approved
declaration 103924,approved
declaration 103929,approved
declaration 103935,approved
declaration 103940,approved
declaration 103950,approved
declaration 103955,approved
declaration 103961,approved
declaration 103967,approved
declaration 103973,approved
declaration 103979,approved
declaration 103984,approved
declaration 103990,approved
declaration 103996,approved
declaration 104006,approved
declaration 104012,approved
declaration 104018,approved
declaration 104023,approved
declaration 104029,approved
declaration 104034,approved
declaration 104040,approved
declaration 104045,approved
declaration 104050,approved
declaration 104055,approved
declaration 104060,approved
declaration 104065,approved
declaration 104073,rejected
declaration 104077,approved
declaration 104082,approved
declaration 104087,approved
declaration 104092,approved
declaration 104097,approved
declaration 104102,approved
declaration 104108,approved
declaration 104114,approved
declaration 104120,approved
declaration 104126,approved
declaration 104131,approved
declaration 104136,approved
declaration 104141,approved
declaration 104146,approved
declaration 104152,approved
declaration 104157,approved
declaration 104162,approved
declaration 104167,approved
declaration 104172,approved
declaration 104177,approved
declaration 104182,approved
declaration 104188,approved
declaration 104193,approved
declaration 104198,approved
declaration 104203,approved
declaration 104208,approved
declaration 104213,approved
declaration 104219,approved
declaration 104228,approved
declaration 104233,approved
declaration 104246,approved
declaration 104251,approved
declaration 104256,approved
declaration 104262,approved
declaration 104267,approved
declaration 104272,approved
declaration 104277,approved
declaration 104283,approved
declaration 104289,approved
declaration 104295,approved
declaration 104305,approved
declaration 104310,approved
declaration 104316,approved
declaration 104326,approved
declaration 104332,approved
declaration 104338,approved
declaration 104344,approved
declaration 104350,approved
declaration 104356,approved
declaration 104361,approved
declaration 104366,unknown
declaration 104368,approved
declaration 104374,approved
declaration 104379,approved
declaration 104384,approved
declaration 104390,approved
declaration 104396,approved
declaration 104402,approved
declaration 104408,approved
declaration 104413,approved
declaration 104418,rejected
declaration 104422,approved
declaration 104428,approved
declaration 104433,approved
declaration 104438,approved
declaration 104443,approved
declaration 104448,approved
declaration 104453,approved
declaration 104459,approved
declaration 104465,approved
declaration 104470,approved
declaration 104475,approved
declaration 104480,approved
declaration 104485,approved
declaration 104491,approved
declaration 104497,approved
declaration 104503,approved
declaration 104508,rejected
declaration 104512,approved
declaration 104517,approved
declaration 104523,approved
declaration 104529,approved
declaration 104534,approved
declaration 104539,approved
declaration 104544,approved
declaration 104556,approved
declaration 104562,approved
declaration 104567,approved
declaration 104572,approved
declaration 104577,approved
declaration 104582,approved
declaration 104587,approved
declaration 104592,approved
declaration 104597,approved
declaration 104603,approved
declaration 104608,approved
declaration 104613,approved
declaration 104618,approved
declaration 104623,approved
declaration 104628,approved
declaration 104634,approved
declaration 104640,approved
declaration 104646,approved
declaration 104651,approved
declaration 104657,approved
declaration 104662,approved
declaration 104667,approved
declaration 104673,approved
declaration 104679,approved
declaration 104685,approved
declaration 104691,approved
declaration 104696,approved
declaration 104701,unknown
declaration 104703,approved
declaration 104709,approved
declaration 104715,approved
declaration 104721,approved
declaration 104727,approved
declaration 104732,approved
declaration 104737,approved
declaration 104742,approved
declaration 104748,approved
declaration 104753,approved
declaration 104758,approved
declaration 104763,approved
declaration 104768,approved
declaration 104773,approved
declaration 104778,approved
declaration 104784,approved
declaration 104790,approved
declaration 104798,approved
declaration 104803,approved
declaration 104809,approved
declaration 104814,approved
declaration 104819,approved
declaration 104824,approved
declaration 104830,unknown
declaration 104832,approved
declaration 104838,approved
declaration 104844,approved
declaration 104849,approved
declaration 104855,approved
declaration 104861,approved
declaration 104866,approved
declaration 104872,approved
declaration 104878,approved
declaration 104883,approved
declaration 104889,approved
declaration 104895,approved
declaration 104900,approved
declaration 104905,rejected
declaration 104909,approved
declaration 104915,approved
declaration 104920,approved
declaration 104925,approved
declaration 104930,unknown
declaration 104932,approved
declaration 104937,approved
declaration 104942,approved
declaration 104947,approved
declaration 104957,approved
declaration 104962,approved
declaration 104968,approved
declaration 104973,approved
declaration 104979,approved
declaration 104985,approved
declaration 104991,approved
declaration 104996,approved
declaration 105002,approved
declaration 105007,approved
declaration 105013,approved
declaration 105018,approved
declaration 105023,approved
declaration 105031,rejected
declaration 105035,approved
declaration 105044,approved
declaration 105049,approved
declaration 105054,approved
declaration 105059,unknown
declaration 105061,approved
declaration 105066,approved
declaration 105071,approved
declaration 105076,approved
declaration 105081,approved
declaration 105086,approved
declaration 105091,approved
declaration 105096,approved
declaration 105101,rejected
declaration 105109,approved
declaration 105114,approved
declaration 105120,rejected
declaration 105124,rejected
declaration 105132,approved
declaration 105137,approved
declaration 105142,approved
declaration 105147,approved
declaration 105152,approved
declaration 105158,approved
declaration 105163,approved
declaration 105168,rejected
declaration 105173,approved
declaration 105178,approved
declaration 105183,approved
declaration 105188,approved
declaration 105194,approved
declaration 105199,approved
declaration 105204,approved
declaration 105209,approved
declaration 105215,approved
declaration 105220,approved
declaration 105225,approved
declaration 105231,approved
declaration 105236,approved
declaration 105242,approved
declaration 105253,approved
declaration 105258,approved
declaration 105263,approved
declaration 105268,approved
declaration 105274,approved
declaration 105279,approved
declaration 105284,approved
declaration 105289,approved
declaration 105297,approved
declaration 105303,approved
declaration 105308,approved
declaration 105314,approved
declaration 105319,approved
declaration 105325,approved
declaration 105330,approved
declaration 105339,approved
declaration 105344,approved
declaration 105349,approved
declaration 105358,approved
declaration 105363,approved
declaration 105368,approved
declaration 105374,approved
declaration 105380,approved
declaration 105385,approved
declaration 105390,approved
declaration 105395,approved
declaration 105401,approved
declaration 105406,approved
declaration 105411,approved
declaration 105416,approved
declaration 105426,approved
declaration 105432,approved
declaration 105437,approved
declaration 105443,approved
declaration 105448,approved
declaration 105453,approved
declaration 105458,approved
declaration 105463,approved
declaration 105468,approved
declaration 105474,approved
declaration 105479,approved
declaration 105484,approved
declaration 105489,approved
declaration 105494,approved
declaration 105500,approved
declaration 105505,approved
declaration 105510,approved
declaration 105515,approved
declaration 105524,approved
declaration 105530,approved
declaration 105536,approved
declaration 105546,approved
declaration 105552,approved
declaration 105561,unknown
declaration 105563,approved
declaration 105568,approved
declaration 105574,approved
declaration 105580,approved
declaration 105586,approved
declaration 105592,approved
declaration 105598,approved
declaration 105604,approved
declaration 105609,approved
declaration 105617,approved
declaration 105622,approved
declaration 105627,approved
declaration 105632,approved
declaration 105638,approved
declaration 105644,approved
declaration 105650,approved
declaration 105655,approved
declaration 105663,approved
declaration 105668,approved
declaration 105673,approved
declaration 105679,approved
declaration 105685,approved
declaration 105690,approved
declaration 105695,approved
declaration 105700,approved
declaration 105706,approved
declaration 105712,approved
declaration 105718,approved
declaration 105724,approved
declaration 105730,unknown
declaration 105732,approved
declaration 105737,approved
declaration 105743,approved
declaration 105748,approved
declaration 105754,approved
declaration 105762,approved
declaration 105770,approved
declaration 105775,approved
declaration 105780,approved
declaration 105785,approved
declaration 105790,approved
declaration 105795,approved
declaration 105800,approved
declaration 105805,rejected
declaration 105809,approved
declaration 105814,approved
declaration 105823,approved
declaration 105829,approved
declaration 105835,approved
declaration 105841,approved
declaration 105846,approved
declaration 105852,approved
declaration 105864,approved
declaration 105870,approved
declaration 105875,approved
declaration 105880,approved
declaration 105886,approved
declaration 105891,approved
declaration 105896,approved
declaration 105901,approved
declaration 105906,approved
declaration 105911,approved
declaration 105916,approved
declaration 105921,approved
declaration 105927,approved
declaration 105933,approved
declaration 105939,approved
declaration 105948,approved
declaration 105953,approved
declaration 105958,approved
declaration 105964,approved
declaration 105970,approved
declaration 105976,approved
declaration 105981,approved
declaration 105987,approved
declaration 105996,approved
declaration 106005,approved
declaration 106011,approved
declaration 106016,approved
declaration 106022,approved
declaration 106027,approved
declaration 106032,approved
declaration 106037,rejected
declaration 106042,approved
declaration 106048,approved
declaration 106053,approved
declaration 106058,approved
declaration 106064,approved
declaration 106070,approved
declaration 106076,approved
declaration 106082,approved
declaration 106090,approved
declaration 106096,approved
declaration 106101,approved
declaration 106107,approved
declaration 106112,approved
declaration 106117,approved
declaration 106123,approved
declaration 106128,approved
declaration 106133,approved
declaration 106138,approved
declaration 106143,approved
declaration 106148,approved
declaration 106153,approved
declaration 106159,approved
declaration 106165,approved
declaration 106171,approved
declaration 106177,approved
declaration 106182,approved
declaration 106187,approved
declaration 106195,approved
declaration 106200,approved
declaration 106208,rejected
declaration 106212,approved
declaration 106217,approved
declaration 106222,approved
declaration 106228,approved
declaration 106233,approved
declaration 106238,approved
declaration 106243,approved
declaration 106248,approved
declaration 106254,approved
declaration 106260,approved
declaration 106265,approved
declaration 106270,unknown
declaration 106272,approved
declaration 106277,approved
declaration 106282,approved
declaration 106287,approved
declaration 106292,approved
declaration 106298,approved
declaration 106307,approved
declaration 106313,approved
declaration 106318,approved
declaration 106326,approved
declaration 106331,approved
declaration 106336,approved
declaration 106342,approved
declaration 106353,approved
declaration 106359,approved
declaration 106364,approved
declaration 106369,approved
declaration 106375,approved
declaration 106380,approved
declaration 106385,approved
declaration 106395,approved
declaration 106400,approved
declaration 106406,approved
declaration 106414,approved
declaration 106420,approved
declaration 106426,approved
declaration 106431,approved
declaration 106436,approved
declaration 106445,approved
declaration 106450,approved
declaration 106456,approved
declaration 106462,approved
declaration 106467,approved
declaration 106472,approved
declaration 106478,approved
declaration 106483,approved
declaration 106488,approved
declaration 106493,approved
declaration 106498,approved
declaration 106503,approved
declaration 106508,approved
declaration 106513,rejected
declaration 106517,approved
declaration 106522,approved
declaration 106527,approved
declaration 106533,approved
declaration 106538,approved
declaration 106543,approved
declaration 106549,approved
declaration 106554,approved
declaration 106560,approved
declaration 106569,approved
declaration 106575,approved
declaration 106580,approved
declaration 106586,approved
declaration 106591,approved
declaration 106597,approved
declaration 106602,approved
declaration 106608,approved
declaration 106613,approved
declaration 106619,approved
declaration 106624,approved
declaration 106629,rejected
declaration 106634,approved
declaration 106639,approved
declaration 106644,approved
declaration 106649,approved
declaration 106654,approved
declaration 106659,approved
declaration 106664,approved
declaration 106670,approved
declaration 106675,approved
declaration 106680,approved
declaration 106685,approved
declaration 106691,approved
declaration 106696,approved
declaration 106701,approved
declaration 106706,approved
declaration 106711,approved
declaration 106716,approved
declaration 106721,approved
declaration 106727,approved
declaration 106733,approved
declaration 106738,approved
declaration 106743,approved
declaration 106748,approved
declaration 106753,approved
declaration 106759,approved
declaration 106764,approved
declaration 106769,approved
declaration 106778,approved
declaration 106784,approved
declaration 106789,approved
declaration 106794,approved
declaration 106799,approved
declaration 106804,approved
declaration 106810,approved
declaration 106815,approved
declaration 106820,approved
declaration 106825,approved
declaration 106830,approved
declaration 106835,approved
declaration 106840,approved
declaration 106846,approved
declaration 106851,approved
declaration 106856,approved
declaration 106861,approved
declaration 106867,approved
declaration 106872,approved
declaration 106877,approved
declaration 106883,approved
declaration 106889,approved
declaration 106895,approved
declaration 106901,approved
declaration 106906,approved
declaration 106911,approved
declaration 106916,approved
declaration 106922,approved
declaration 106927,approved
declaration 106933,approved
declaration 106938,approved
declaration 106943,approved
declaration 106948,approved
declaration 106954,approved
declaration 106964,approved
declaration 106969,approved
declaration 106974,approved
declaration 106980,approved
declaration 106986,approved
declaration 106992,approved
declaration 106997,approved
declaration 107002,approved
declaration 107008,approved
declaration 107013,approved
declaration 107019,approved
declaration 107025,approved
declaration 107030,approved
declaration 107035,approved
declaration 107041,approved
declaration 107046,approved
declaration 107051,approved
declaration 107057,approved
declaration 107063,approved
declaration 107068,approved
declaration 107073,approved
declaration 107085,approved
declaration 107090,approved
declaration 107095,approved
declaration 107100,approved
declaration 107105,approved
declaration 107114,approved
declaration 107119,approved
declaration 107125,approved
declaration 107130,approved
declaration 107135,approved
declaration 107140,approved
declaration 107145,approved
declaration 107150,approved
declaration 107155,approved
declaration 107161,approved
declaration 107167,approved
declaration 107172,approved
declaration 107177,approved
declaration 107182,approved
declaration 107187,approved
declaration 107193,approved
declaration 107198,approved
declaration 107203,approved
declaration 107208,approved
declaration 107213,approved
declaration 107218,approved
declaration 107223,approved
declaration 107228,rejected
declaration 107233,approved
declaration 107238,approved
declaration 107244,rejected
declaration 107249,approved
declaration 107254,approved
declaration 107260,approved
declaration 107265,approved
declaration 107271,approved
declaration 107277,approved
declaration 107282,approved
declaration 107287,rejected
declaration 107293,approved
declaration 107301,approved
declaration 107306,approved
declaration 107311,approved
declaration 107317,approved
declaration 107322,approved
declaration 107327,approved
declaration 107332,approved
declaration 107338,approved
declaration 107343,approved
declaration 107348,rejected
declaration 107358,approved
declaration 107364,approved
declaration 107378,approved
declaration 107383,approved
declaration 107389,approved
declaration 107394,approved
declaration 107399,approved
declaration 107405,approved
declaration 107411,approved
declaration 107416,approved
declaration 107422,approved
declaration 107427,approved
declaration 107432,approved
declaration 107437,approved
declaration 107442,approved
declaration 107447,approved
declaration 107452,approved
declaration 107464,approved
declaration 107470,approved
declaration 107475,approved
declaration 107480,approved
declaration 107486,approved
declaration 107491,approved
declaration 107496,approved
declaration 107501,approved
declaration 107506,approved
declaration 107511,approved
declaration 107516,approved
declaration 107521,approved
declaration 107526,approved
declaration 107532,approved
declaration 107537,approved
declaration 107542,approved
declaration 107548,approved
declaration 107553,approved
declaration 107558,approved
declaration 107563,approved
declaration 107569,approved
declaration 107574,approved
declaration 107580,approved
declaration 107586,approved
declaration 107596,approved
declaration 107602,approved
declaration 107607,approved
declaration 107615,approved
declaration 107621,approved
declaration 107626,approved
declaration 107631,approved
declaration 107636,approved
declaration 107646,approved
declaration 107651,approved
declaration 107657,approved
declaration 107662,approved
declaration 107667,approved
declaration 107672,approved
declaration 107677,approved
declaration 107682,approved
declaration 107687,approved
declaration 107692,approved
declaration 107698,approved
declaration 107704,approved
declaration 107710,approved
declaration 107715,approved
declaration 107720,approved
declaration 107726,approved
declaration 107732,approved
declaration 107742,approved
declaration 107748,approved
declaration 107753,approved
declaration 107758,approved
declaration 107763,approved
declaration 107768,approved
declaration 107773,approved
declaration 107778,approved
declaration 107783,approved
declaration 107788,approved
declaration 107793,approved
declaration 107799,approved
declaration 107805,approved
